id,faction,color_pair,card_name,set_context,type_line,color_identity,canonical_basis,confidence,mechanic_or_theme,translation_function,orzhov_axis,structural_role,narrative_read,animation_motif,tags,source_url
ORZ-066,Orzhov Syndicate,white-black,Kaya's Wrath,Ravnica Allegiance,Sorcery,{W}{B},Kaya/Orzhov board wipe,strong,Destroy all creatures + life gain from your deaths,Override,Wrathful Accounting,Clears the board while refunding your own losses as life.,The wipe is not symmetrical once the insurance clause is read.,"Kaya shockwave over a battlefield, friendly ghosts becoming life motes","board wipe, lifegain, Kaya",https://scryfall.com/search?q=%21%22Kaya%27s%20Wrath%22
ORZ-067,Orzhov Syndicate,white-black,Knight of Sorrows,Ravnica Allegiance,Creature — Human Knight,{B},Orzhov-watermarked afterlife knight,supported,Afterlife 1,AccretionEngine,Sorrowful Continuance,Maintains board presence after death through spirit obligation.,"The knight falls, and sorrow takes the next shift.",black-armored knight dissolving into one white spirit,"afterlife, knight, spirit",https://scryfall.com/search?q=%21%22Knight%20of%20Sorrows%22
ORZ-068,Orzhov Syndicate,white-black,Knight of the Last Breath,Ravnica Allegiance,Creature — Giant Knight,{W}{B},Orzhov-watermarked sacrifice/afterlife payoff,strong,Sacrifice nontoken creature to create Spirit,AccretionEngine,Last Breath Conversion,Converts creatures into spirit labor.,The last breath is not released; it is reassigned.,giant knight drawing a spirit from a kneeling creature,"sacrifice, spirits, conversion",https://scryfall.com/search?q=%21%22Knight%20of%20the%20Last%20Breath%22
ORZ-069,Orzhov Syndicate,white-black,Ministrant of Obligation,Ravnica Allegiance,Creature — Human Cleric,{W},Orzhov-watermarked afterlife cleric,strong,Afterlife 2,AccretionEngine,Obligation Ministry,Leaves multiple spirit obligations after death.,The minister sermon continues with two ghosts on collection duty.,cleric collapsing into two hovering account-scroll spirits,"afterlife, cleric, spirits",https://scryfall.com/search?q=%21%22Ministrant%20of%20Obligation%22
ORZ-070,Orzhov Syndicate,white-black,Mortify,Ravnica Allegiance / Guildpact,Instant,{W}{B},Iconic Orzhov removal spell,strong,Destroy creature or enchantment,Detain,Targeted Nullification,Answers bodies or bindings with clean authority.,The Orzhov version of mercy is a signed cancellation.,white-black seal cracking a creature/enchantment icon,"removal, instant, creature, enchantment",https://scryfall.com/search?q=%21%22Mortify%22
ORZ-071,Orzhov Syndicate,white-black,Orzhov Enforcer,Ravnica Allegiance,Creature — Human Rogue,{B},Orzhov-named afterlife enforcer,strong,Deathtouch + afterlife 1,Detain,Enforced Obligation,Trades up through deathtouch and persists as a spirit.,The enforcer can die on the job because enforcement survives him.,rogue dagger becoming a ghostly warrant,"deathtouch, afterlife, rogue",https://scryfall.com/search?q=%21%22Orzhov%20Enforcer%22
ORZ-072,Orzhov Syndicate,white-black,Pitiless Pontiff,Ravnica Allegiance,Creature — Vampire Cleric,{W}{B},Orzhov-watermarked sacrifice cleric,strong,Sacrifice for deathtouch/indestructible,ConstraintField,Pitiless Survival,Turns expendable bodies into protected lethal authority.,The pontiff survives each crisis by making someone else the lesson.,"vampire pontiff under black-white shield, sacrifice shadow below","sacrifice, indestructible, deathtouch",https://scryfall.com/search?q=%21%22Pitiless%20Pontiff%22
ORZ-073,Orzhov Syndicate,white-black,Priest of Forgotten Gods,Ravnica Allegiance,Creature — Human Cleric,{B},Orzhov-watermarked sacrifice priest,strong,"Sacrifice two for opponent loss/sacrifice, mana, draw",AccretionEngine,Forgotten Tithe Engine,"Converts bodies into mana, cards, life loss, and opposing sacrifice.",The forgotten gods remember exactly what tribute is owed.,"priest before shadow altar producing cards, mana, and blood coins","sacrifice, draw, mana, edict, drain",https://scryfall.com/search?q=%21%22Priest%20of%20Forgotten%20Gods%22
ORZ-074,Orzhov Syndicate,white-black,Revival // Revenge,Ravnica Allegiance,Split Card — Sorcery,{W}{B},Orzhov split card / recursion and life total swing,strong,Small recursion or life-total drain swing,AccretionEngine,Reversal Ledger,Restores a small asset or radically rebalances life totals.,The contract has a clause for resurrection and a clause for revenge.,"split page: white hand raising a creature, black scale halving life","split card, recursion, drain, lifegain",https://scryfall.com/search?q=%21%22Revival%20//%20Revenge%22
ORZ-075,Orzhov Syndicate,white-black,Seraph of the Scales,Ravnica Allegiance,Creature — Angel,{W}{B},Orzhov-watermarked afterlife angel,strong,Flying + afterlife 2 + vigilance/deathtouch modes,ConstraintField,Judicial Seraph,Combines modal authority with death-transformed spirit value.,The seraph weighs the case in life and leaves witnesses in death.,angel with scales balancing two spirit tokens,"angel, afterlife, vigilance, deathtouch",https://scryfall.com/search?q=%21%22Seraph%20of%20the%20Scales%22
ORZ-076,Orzhov Syndicate,white-black,Smothering Tithe,Ravnica Allegiance,Enchantment,{W},Orzhov-watermarked tax engine,strong,Opponent draw tax creates Treasure,AccretionEngine,Compounded Tithe,Turns opponents drawing cards into payment or treasure production.,"Knowledge is allowed, provided the fee is paid.",gold coins multiplying under a white-black tax seal,"tax, treasure, draw punishment",https://scryfall.com/search?q=%21%22Smothering%20Tithe%22
ORZ-077,Orzhov Syndicate,white-black,Spirit of the Spires,Ravnica Allegiance,Creature — Spirit,{W},Orzhov-watermarked Spirit support,supported,Flying creature toughness buff,ConstraintField,Spire Protection,Reinforces aerial/spirit board presence.,The cathedral spires make every ghost harder to dismiss.,spirit circling cathedral spires with white shield motes,"spirit, flying, buff",https://scryfall.com/search?q=%21%22Spirit%20of%20the%20Spires%22
ORZ-078,Orzhov Syndicate,white-black,Syndicate Guildmage,Ravnica Allegiance,Creature — Human Cleric,{W}{B},Orzhov guildmage,strong,Tap opponent creatures / drain ability,ConstraintField,Guild Sanction,Locks creatures down and converts late mana into life drain.,The guildmage can delay motion or call in the balance due.,guildmage with one hand binding legs and one hand draining coins,"tapdown, drain, guildmage",https://scryfall.com/search?q=%21%22Syndicate%20Guildmage%22
ORZ-079,Orzhov Syndicate,white-black,Syndicate Messenger,Ravnica Allegiance,Creature — Bird,{W},Orzhov-watermarked afterlife messenger,supported,Flying + afterlife 1,AccretionEngine,Message After Death,Maintains aerial pressure and leaves a spirit after death.,The message is delivered even if the messenger is not.,white bird carrying a black-gold sealed note that becomes a spirit,"afterlife, flying, spirit",https://scryfall.com/search?q=%21%22Syndicate%20Messenger%22
ORZ-080,Orzhov Syndicate,white-black,Teysa Karlov,Ravnica Allegiance,Legendary Creature — Human Advisor,{W}{B},Legendary Orzhov advokist / guild leader figure,strong,Doubles death triggers; buffs tokens,AccretionEngine,Death Trigger Jurisprudence,Doubles the value of death-based obligations and strengthens spirit labor.,Teysa reads the fine print and every death pays twice.,"Teysa over a legal desk, two echoing death-trigger sigils","legendary, death triggers, tokens, aristocrats",https://scryfall.com/search?q=%21%22Teysa%20Karlov%22
ORZ-081,Orzhov Syndicate,white-black,Tithe Taker,Ravnica Allegiance,Creature — Human Soldier,{W},Orzhov-watermarked tax/afterlife creature,strong,Taxes opponent actions on your turn + afterlife,ConstraintField,Procedural Fee,Makes interference expensive and persists as a spirit.,"You may act during Orzhov business hours, but there is a surcharge.",soldier holding a fee writ with a ghost standing behind,"tax, afterlife, tempo",https://scryfall.com/search?q=%21%22Tithe%20Taker%22
ORZ-082,Orzhov Syndicate,white-black,Vindictive Vampire,Ravnica Allegiance,Creature — Vampire,{B},Orzhov-watermarked aristocrat drain payoff,strong,Creature death drains each opponent,AccretionEngine,Vindictive Collection,Turns your creature deaths into tablewide life drain.,Every death in the estate becomes another player loss.,vampire noble surrounded by dying tokens becoming black-red coins,"aristocrats, drain, vampire, death trigger",https://scryfall.com/search?q=%21%22Vindictive%20Vampire%22
ORZ-083,Orzhov Syndicate,white-black,Vizkopa Vampire,Ravnica Allegiance / Ravnica Clue Edition,Creature — Vampire,{B},Vizkopa/Orzhov-aligned vampire,supported,Lifelink body,AccretionEngine,Vizkopa Minor Noble,Adds small lifelink presence to the debt-and-blood economy.,Not every noble owns the bank; some simply collect in person.,vampire in black-white finery drinking from coin-lit chalice,"vampire, lifelink, Vizkopa",https://scryfall.com/search?q=%21%22Vizkopa%20Vampire%22
ORZ-084,Orzhov Syndicate,white-black,Afterlife Insurance,Ravnica: Clue Edition,Instant,{W}{B},Orzhov-named afterlife/debt-flavor card,strong,Protection/afterlife-style contingency,ConstraintField,Insurance Clause,Frames death and risk as contract-managed contingency.,Orzhov insurance does not prevent tragedy; it monetizes what follows.,insurance contract unfurling into a white spirit over black wax seal,"insurance, afterlife, contract, protection",https://scryfall.com/search?q=%21%22Afterlife%20Insurance%22
ORZ-085,Orzhov Syndicate,white-black,"Teysa, Opulent Oligarch",Ravnica: Clue Edition,Legendary Creature — Human Advisor,{W}{B},Legendary Teysa / Orzhov oligarch card,strong,Clue/Spirit/value aristocrat identity,AccretionEngine,Opulent Investigation,"Turns wealth, evidence, and spirits into political leverage.",The oligarch does not solve the mystery; she acquires its leverage.,"Teysa with jewels, clues, and ghostly attendants in a gilded hall","legendary, clues, spirits, aristocrat",https://scryfall.com/search?q=%21%22Teysa%2C%20Opulent%20Oligarch%22
