claim_id	identity_number	identity_key	identity_name	statement_type	classification	claim_text	controlling_locators	official_support_ids	rationale	disposition
VM554-10-05	10	WR	Boros Legion	REJECTS	UPSTREAM-DIRECT	Combat, equipment, soldiers, or righteous anger are not Boros when force is no longer answerable to protection and public duty.	data/factions.json#/factions/WR/affinity/not_to_be_confused_with; docs/architecture/colors/boros/identity.md#false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-11-01	11	LOREHOLD	Lorehold College	CENTER	UPSTREAM-DIRECT	Lorehold College (RW) - history recovered through scholarship and fieldwork.	data/factions.json#/factions/LOREHOLD/philosophy; docs/architecture/colors/lorehold/identity.md#identity-overview-or-core-drive; docs/architecture/colors/lorehold/metaphysics.md#metaphysical-thesis	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-11-02	11	LOREHOLD	Lorehold College	RESONATES	UPSTREAM-DIRECT	The person studies ruins, records, relics, and the dead because the past contains usable lessons for the present.	data/factions.json#/factions/LOREHOLD/affinity/drawn_to; docs/architecture/colors/lorehold/identity.md#operator-translation-signals	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-11-03	11	LOREHOLD	Lorehold College	CONNECTS	SUPPORTED-SYNTHESIS	It shares action with Boros and documentation with Azorius. Its distinctive bridge is physically adventurous historical inquiry rather than present-tense enforcement.	data/factions.json#/factions/LOREHOLD/affinity/not_to_be_confused_with; data/factions.json#/factions/LOREHOLD/raw_enrichment/views_on_other_factions; docs/architecture/colors/lorehold/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-11-04	11	LOREHOLD	Lorehold College	PUSHES_BACK	UPSTREAM-DIRECT	It resists sanitized history, purely theoretical learning, and dismissal of old knowledge as irrelevant.	data/factions.json#/factions/LOREHOLD/affinity/repelled_by; data/factions.json#/factions/LOREHOLD/core_tension; docs/architecture/colors/lorehold/identity.md#inhibitors-or-false-positive-risks	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-11-05	11	LOREHOLD	Lorehold College	REJECTS	UPSTREAM-DIRECT	Red-White action, graveyard value, artifacts, or Spirits are not Lorehold without history, archaeology, records, relics, or learning from the past.	data/factions.json#/factions/LOREHOLD/affinity/not_to_be_confused_with; docs/architecture/colors/lorehold/identity.md#false-positive-risks	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-12-01	12	PRISMARI	Prismari College	CENTER	UPSTREAM-DIRECT	Prismari College (UR) - expression given form through artistic craft.	data/factions.json#/factions/PRISMARI/philosophy; docs/architecture/colors/prismari/identity.md#identity-overview-or-core-drive; docs/architecture/colors/prismari/metaphysics.md#metaphysical-thesis	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-12-02	12	PRISMARI	Prismari College	RESONATES	UPSTREAM-DIRECT	The person wants an idea or emotion to be felt through a chosen medium and accepts practice, technique, and revision as part of authentic expression.	data/factions.json#/factions/PRISMARI/affinity/drawn_to; docs/architecture/colors/prismari/identity.md#operator-translation-signals	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-12-03	12	PRISMARI	Prismari College	CONNECTS	SUPPORTED-SYNTHESIS	It shares creation with Izzet, performance with Rakdos, rhetoric with Silverquill, and dramatic experience with Red. Its center is art, not experiment or transgression.	data/factions.json#/factions/PRISMARI/affinity/not_to_be_confused_with; data/factions.json#/factions/PRISMARI/raw_enrichment/views_on_other_factions; docs/architecture/colors/prismari/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-12-04	12	PRISMARI	Prismari College	PUSHES_BACK	UPSTREAM-DIRECT	It resists technique without feeling, feeling without form, and usefulness or proof treated as the only standards of seriousness.	data/factions.json#/factions/PRISMARI/affinity/repelled_by; data/factions.json#/factions/PRISMARI/core_tension; docs/architecture/colors/prismari/identity.md#inhibitors-or-false-positive-risks	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-12-05	12	PRISMARI	Prismari College	REJECTS	UPSTREAM-DIRECT	Big spells, spectacle, novelty, or performance are not Prismari when expressive purpose and disciplined medium are absent.	data/factions.json#/factions/PRISMARI/affinity/not_to_be_confused_with; docs/architecture/colors/prismari/identity.md#false-positive-risks	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-13-01	13	WITHERBLOOM	Witherbloom College	CENTER	UPSTREAM-DIRECT	Witherbloom College (BG) - life and death treated as practical essence craft.	data/factions.json#/factions/WITHERBLOOM/philosophy; docs/architecture/colors/witherbloom/identity.md#identity-overview-or-core-drive; docs/architecture/colors/witherbloom/metaphysics.md#metaphysical-thesis	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-13-02	13	WITHERBLOOM	Witherbloom College	RESONATES	UPSTREAM-DIRECT	The person learns through bodies, remedies, poisons, medicine, mortuary practice, and cost-aware movement of life energy.	data/factions.json#/factions/WITHERBLOOM/affinity/drawn_to; docs/architecture/colors/witherbloom/identity.md#operator-translation-signals	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-13-03	13	WITHERBLOOM	Witherbloom College	CONNECTS	SUPPORTED-SYNTHESIS	It shares the life/death boundary with Golgari, living systems with Simic, and extraction with Black. Unlike Golgari, it studies and manipulates vitality as a craft.	data/factions.json#/factions/WITHERBLOOM/affinity/not_to_be_confused_with; data/factions.json#/factions/WITHERBLOOM/raw_enrichment/views_on_other_factions; docs/architecture/colors/witherbloom/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-13-04	13	WITHERBLOOM	Witherbloom College	PUSHES_BACK	UPSTREAM-DIRECT	It resists sanitized abstraction, optimization blind to bodily cost, and graveyard aesthetics with no living-essence practice.	data/factions.json#/factions/WITHERBLOOM/affinity/repelled_by; data/factions.json#/factions/WITHERBLOOM/core_tension; docs/architecture/colors/witherbloom/identity.md#inhibitors-or-false-positive-risks	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-13-05	13	WITHERBLOOM	Witherbloom College	REJECTS	UPSTREAM-DIRECT	Lifegain, life payment, pests, sacrifice, decay, or nature are not Witherbloom without study, brewing, healing/harm, or vitality exchange.	data/factions.json#/factions/WITHERBLOOM/affinity/not_to_be_confused_with; docs/architecture/colors/witherbloom/identity.md#false-positive-risks	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-14-01	14	QUANDRIX	Quandrix College	CENTER	UPSTREAM-DIRECT	Quandrix College (GU) - reality understood through mathematical structure.	data/factions.json#/factions/QUANDRIX/philosophy; docs/architecture/colors/quandrix/identity.md#identity-overview-or-core-drive; docs/architecture/colors/quandrix/metaphysics.md#metaphysical-thesis	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-14-02	14	QUANDRIX	Quandrix College	RESONATES	UPSTREAM-DIRECT	The person finds beauty in proof, patterns, symmetry, models, precision, and problems whose underlying structure takes patience to reveal.	data/factions.json#/factions/QUANDRIX/affinity/drawn_to; docs/architecture/colors/quandrix/identity.md#operator-translation-signals	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-14-03	14	QUANDRIX	Quandrix College	CONNECTS	SUPPORTED-SYNTHESIS	It shares inquiry with Izzet and growth with Simic, but seeks formal pattern rather than prototype or organism-level intervention.	data/factions.json#/factions/QUANDRIX/affinity/not_to_be_confused_with; data/factions.json#/factions/QUANDRIX/raw_enrichment/views_on_other_factions; docs/architecture/colors/quandrix/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-14-04	14	QUANDRIX	Quandrix College	PUSHES_BACK	UPSTREAM-DIRECT	It resists approximation when rigor is available, intuition replacing evidence, and commitment before proof.	data/factions.json#/factions/QUANDRIX/affinity/repelled_by; data/factions.json#/factions/QUANDRIX/core_tension; docs/architecture/colors/quandrix/identity.md#inhibitors-or-false-positive-risks	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-14-05	14	QUANDRIX	Quandrix College	REJECTS	UPSTREAM-DIRECT	Doubling, X spells, tokens, counters, or scaling are not Quandrix without mathematics, pattern, model, proof, or abstract structure.	data/factions.json#/factions/QUANDRIX/affinity/not_to_be_confused_with; docs/architecture/colors/quandrix/identity.md#false-positive-risks	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-15-01	15	SILVERQUILL	Silverquill College	CENTER	UPSTREAM-DIRECT	Silverquill College (WB) - language used as visible social action.	data/factions.json#/factions/SILVERQUILL/philosophy; docs/architecture/colors/silverquill/identity.md#identity-overview-or-core-drive; docs/architecture/colors/silverquill/metaphysics.md#metaphysical-thesis	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-15-02	15	SILVERQUILL	Silverquill College	RESONATES	UPSTREAM-DIRECT	The person leads, persuades, inspires, criticizes, or pressures through precise spoken, written, signed, or magical expression.	data/factions.json#/factions/SILVERQUILL/affinity/drawn_to; docs/architecture/colors/silverquill/identity.md#operator-translation-signals	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-15-03	15	SILVERQUILL	Silverquill College	CONNECTS	SUPPORTED-SYNTHESIS	It shares public influence with Prismari, hierarchy with Orzhov, and information with Dimir. Its active method is rhetoric and language in the room.	data/factions.json#/factions/SILVERQUILL/affinity/not_to_be_confused_with; data/factions.json#/factions/SILVERQUILL/raw_enrichment/views_on_other_factions; docs/architecture/colors/silverquill/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-15-04	15	SILVERQUILL	Silverquill College	PUSHES_BACK	UPSTREAM-DIRECT	It resists vague communication, words dismissed as decoration, and influence hidden behind debt, secrecy, or procedure.	data/factions.json#/factions/SILVERQUILL/affinity/repelled_by; data/factions.json#/factions/SILVERQUILL/core_tension; docs/architecture/colors/silverquill/identity.md#inhibitors-or-false-positive-risks	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-15-05	15	SILVERQUILL	Silverquill College	REJECTS	UPSTREAM-DIRECT	Ambition, politics, counters, aggression, or charisma are not Silverquill without language or rhetoric doing the work.	data/factions.json#/factions/SILVERQUILL/affinity/not_to_be_confused_with; docs/architecture/colors/silverquill/identity.md#false-positive-risks	OFF-STRIXHAVEN-DISTINCTION; OFF-STRIXHAVEN-GUIDE	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-16-01	16	W	White	CENTER	UPSTREAM-DIRECT	White (W) - peace made durable through structure.	data/factions.json#/factions/W/philosophy; docs/architecture/colors/white/identity.md#identity-overview-or-core-drive; docs/architecture/colors/white/metaphysics.md#metaphysical-thesis	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-16-02	16	W	White	RESONATES	UPSTREAM-DIRECT	The person values shared standards, protection of the vulnerable, dependable obligations, and group safety over private exception.	data/factions.json#/factions/W/affinity/drawn_to; docs/architecture/colors/white/identity.md#operator-translation-signals	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-16-03	16	W	White	CONNECTS	SUPPORTED-SYNTHESIS	Azorius formalizes White, Boros mobilizes it, Selesnya communalizes it, Orzhov weaponizes obligation, and Bant idealizes honorable responsibility.	data/factions.json#/factions/W/affinity/not_to_be_confused_with; data/factions.json#/factions/W/raw_enrichment/views_on_other_factions; docs/architecture/colors/white/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-16-04	16	W	White	PUSHES_BACK	UPSTREAM-DIRECT	White challenges Black's self-priority and Red's unrestrained immediacy, while Green can question whether White's systems listen to living reality.	data/factions.json#/factions/W/affinity/repelled_by; data/factions.json#/factions/W/core_tension; docs/architecture/colors/white/identity.md#inhibitors-or-false-positive-risks	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-16-05	16	W	White	REJECTS	UPSTREAM-DIRECT	If rules are inherently oppression, private power owes nothing to others, or impulse should outrank communal safety, mono-White is a false center.	data/factions.json#/factions/W/affinity/not_to_be_confused_with; docs/architecture/colors/white/identity.md#false-positive-risks	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-17-01	17	U	Blue	CENTER	UPSTREAM-DIRECT	Blue (U) - possibility expanded through knowledge and improvement.	data/factions.json#/factions/U/philosophy; docs/architecture/colors/blue/identity.md#identity-overview-or-core-drive; docs/architecture/colors/blue/metaphysics.md#metaphysical-thesis	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-17-02	17	U	Blue	RESONATES	UPSTREAM-DIRECT	The person studies before committing, builds models, practices deliberately, and wants tools or education to overcome starting limits.	data/factions.json#/factions/U/affinity/drawn_to; docs/architecture/colors/blue/identity.md#operator-translation-signals	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-17-03	17	U	Blue	CONNECTS	SUPPORTED-SYNTHESIS	Azorius proceduralizes Blue, Dimir conceals it, Izzet tests it, Simic applies it to life, and Esper turns it toward designed perfectibility.	data/factions.json#/factions/U/affinity/not_to_be_confused_with; data/factions.json#/factions/U/raw_enrichment/views_on_other_factions; docs/architecture/colors/blue/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-17-04	17	U	Blue	PUSHES_BACK	UPSTREAM-DIRECT	Blue challenges Red's immediate feeling and Green's acceptance of the given, while Black asks whether knowledge produces usable agency.	data/factions.json#/factions/U/affinity/repelled_by; data/factions.json#/factions/U/core_tension; docs/architecture/colors/blue/identity.md#inhibitors-or-false-positive-risks	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-17-05	17	U	Blue	REJECTS	UPSTREAM-DIRECT	If instinct, fate, or the present impulse should be final and further understanding only delays truth, mono-Blue is a false center.	data/factions.json#/factions/U/affinity/not_to_be_confused_with; docs/architecture/colors/blue/identity.md#false-positive-risks	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-18-01	18	B	Black	CENTER	UPSTREAM-DIRECT	Black (B) - agency secured through power, cost, and leverage.	data/factions.json#/factions/B/philosophy; docs/architecture/colors/black/identity.md#identity-overview-or-core-drive; docs/architecture/colors/black/metaphysics.md#metaphysical-thesis	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-18-02	18	B	Black	RESONATES	UPSTREAM-DIRECT	The person accepts hard costs, refuses to wait for fairness, and converts resources, loss, loyalty, or death into self-determination.	data/factions.json#/factions/B/affinity/drawn_to; docs/architecture/colors/black/identity.md#operator-translation-signals	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-18-03	18	B	Black	CONNECTS	SUPPORTED-SYNTHESIS	Dimir hides Black's leverage, Rakdos performs its appetite, Golgari cycles its costs, Orzhov institutionalizes them, and Grixis uses them to survive.	data/factions.json#/factions/B/affinity/not_to_be_confused_with; data/factions.json#/factions/B/raw_enrichment/views_on_other_factions; docs/architecture/colors/black/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-18-04	18	B	Black	PUSHES_BACK	UPSTREAM-DIRECT	Black challenges White's group-first morality and Green's destiny/acceptance, while Red shares individualism but rejects excessive calculation.	data/factions.json#/factions/B/affinity/repelled_by; data/factions.json#/factions/B/core_tension; docs/architecture/colors/black/identity.md#inhibitors-or-false-positive-risks	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-18-05	18	B	Black	REJECTS	UPSTREAM-DIRECT	If power must never serve the self, paying a cost is inherently corrupt, or dependence is always more virtuous than agency, mono-Black is a false center.	data/factions.json#/factions/B/affinity/not_to_be_confused_with; docs/architecture/colors/black/identity.md#false-positive-risks	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-19-01	19	R	Red	CENTER	UPSTREAM-DIRECT	Red (R) - freedom and feeling converted into immediate motion.	data/factions.json#/factions/R/philosophy; docs/architecture/colors/red/identity.md#identity-overview-or-core-drive; docs/architecture/colors/red/metaphysics.md#metaphysical-thesis	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-19-02	19	R	Red	RESONATES	UPSTREAM-DIRECT	The person trusts emotion as information, acts before overthinking kills the moment, and values freedom from artificial restraint.	data/factions.json#/factions/R/affinity/drawn_to; docs/architecture/colors/red/identity.md#operator-translation-signals	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-19-03	19	R	Red	CONNECTS	SUPPORTED-SYNTHESIS	Rakdos publicizes Red's appetite, Gruul roots it in instinct, Izzet turns it into experiment, Boros disciplines it for protection, and Jund treats it as self-truth.	data/factions.json#/factions/R/affinity/not_to_be_confused_with; data/factions.json#/factions/R/raw_enrichment/views_on_other_factions; docs/architecture/colors/red/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-19-04	19	R	Red	PUSHES_BACK	UPSTREAM-DIRECT	Red challenges White's security and Blue's deliberation, while Black can sharpen its self-interest and Green can root its intuition.	data/factions.json#/factions/R/affinity/repelled_by; data/factions.json#/factions/R/core_tension; docs/architecture/colors/red/identity.md#inhibitors-or-false-positive-risks	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-19-05	19	R	Red	REJECTS	UPSTREAM-DIRECT	If every variable must be approved, feeling is unreliable by definition, or safety always outranks the living moment, mono-Red is a false center.	data/factions.json#/factions/R/affinity/not_to_be_confused_with; docs/architecture/colors/red/identity.md#false-positive-risks	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-20-01	20	G	Green	CENTER	UPSTREAM-DIRECT	Green (G) - flourishing through acceptance, nature, and belonging.	data/factions.json#/factions/G/philosophy; docs/architecture/colors/green/identity.md#identity-overview-or-core-drive; docs/architecture/colors/green/metaphysics.md#metaphysical-thesis	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-20-02	20	G	Green	RESONATES	UPSTREAM-DIRECT	The person trusts organic growth, old patterns, land, kinship, patience, and the living order more than redesign for its own sake.	data/factions.json#/factions/G/affinity/drawn_to; docs/architecture/colors/green/identity.md#operator-translation-signals	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-20-03	20	G	Green	CONNECTS	SUPPORTED-SYNTHESIS	Gruul makes Green defiant, Selesnya makes it communal, Golgari makes it cyclical, Simic tests its adaptability, and Naya makes abundance relational.	data/factions.json#/factions/G/affinity/not_to_be_confused_with; data/factions.json#/factions/G/raw_enrichment/views_on_other_factions; docs/architecture/colors/green/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-PIE-FIGHTS; OFF-ALLIED-COLORS	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
