identity_a	identity_b	audit_basis	audit_path_count_or_marker	coverage_category	observable_behavioral_distinction	pilot_question_ids	why_defensible	when_not_to_ask	pilot_coverage_status	evidence_provenance
GRIXIS	JUND	MANDATORY-COVERAGE	mandatory structural coverage	adjacent three-color	GRIXIS uses Resource visibility evidence; JUND uses Pressure channel evidence. No direct pair claim is made.	b1.gate.visibility.v1;b1.hall.pressure.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
GRIXIS	SILVERQUILL	EXACT-TIE	1	accepted exact tie	GRIXIS uses Initiative posture evidence; SILVERQUILL uses Public commitment evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
GRIXIS	SULTAI	EXACT-TIE	6	accepted exact tie	GRIXIS uses Initiative posture evidence; SULTAI uses Engine concentration evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
GRIXIS	UG	EXACT-TIE	1	accepted exact tie	GRIXIS uses Initiative posture evidence; UG uses Engine concentration evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
GRIXIS	WUBRG	EXACT-TIE	6	accepted exact tie	GRIXIS uses Initiative posture evidence; WUBRG uses Deck breadth and constraint evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.hall.breadth.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
INK	JESKAI	EXACT-TIE	6	accepted exact tie	Direct scenario tests one bounded Commander behavior.	b1.crucible.jeskai.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
INK	NAYA	EXACT-TIE	12;1	accepted exact tie	INK uses Public commitment evidence; NAYA uses Pressure channel evidence. No direct pair claim is made.	b1.hall.commitment.v1;b1.hall.pressure.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
INK	WG	EXACT-TIE	1	accepted exact tie	INK uses Public commitment evidence; WG uses Public commitment evidence. No direct pair claim is made.	b1.hall.commitment.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
INK	WITCH	MANDATORY-COVERAGE	mandatory structural coverage	adjacent four-color	Direct scenario tests one bounded Commander behavior.	b1.crucible.ink-witch.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
JESKAI	LOREHOLD	EXACT-TIE	3	accepted exact tie	Direct scenario tests one bounded Commander behavior.	b1.crucible.jeskai.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
JESKAI	MARDU	MANDATORY-COVERAGE	mandatory structural coverage	adjacent three-color	JESKAI uses Mana commitment and interaction window evidence; MARDU uses Pressure channel evidence. No direct pair claim is made.	b1.hall.interaction-window.v1;b1.hall.pressure.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
JESKAI	NAYA	EXACT-TIE	39	accepted exact tie	Direct scenario tests one bounded Commander behavior.	b1.crucible.jeskai.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
JESKAI	QUANDRIX	EXACT-TIE	2	accepted exact tie	JESKAI uses Mana commitment and interaction window evidence; QUANDRIX uses Engine concentration evidence. No direct pair claim is made.	b1.hall.interaction-window.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
JESKAI	R	HIGH-FREQUENCY-P1/P2	226	>=100 authored paths; not player prevalence	JESKAI uses Mana commitment and interaction window evidence; R uses Advantage tempo evidence. No direct pair claim is made.	b1.hall.interaction-window.v1;b1.gate.tempo.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
JESKAI	TEMUR	MANDATORY-COVERAGE	mandatory structural coverage	adjacent three-color	JESKAI uses Mana commitment and interaction window evidence; TEMUR uses Pressure channel evidence. No direct pair claim is made.	b1.hall.interaction-window.v1;b1.hall.pressure.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
JESKAI	U	EXACT-TIE	1	accepted exact tie	JESKAI uses Repeatability preference evidence; U uses Engine concentration evidence. No direct pair claim is made.	b1.hall.repeatability.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
JESKAI	UR	HIGH-FREQUENCY-P1/P2	162	>=100 authored paths; not player prevalence	JESKAI uses Mana commitment and interaction window evidence; UR uses Engine concentration evidence. No direct pair claim is made.	b1.hall.interaction-window.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
JESKAI	W	HIGH-FREQUENCY-P1/P2	159	>=100 authored paths; not player prevalence	JESKAI uses Mana commitment and interaction window evidence; W uses Disruption response evidence. No direct pair claim is made.	b1.hall.interaction-window.v1;b1.gate.disruption.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
JESKAI	WR	HIGH-FREQUENCY-P1/P2	145	>=100 authored paths; not player prevalence	JESKAI uses Mana commitment and interaction window evidence; WR uses Disruption response evidence. No direct pair claim is made.	b1.hall.interaction-window.v1;b1.gate.disruption.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
JESKAI	WU	EXACT-TIE;HIGH-FREQUENCY-P1/P2	146;2	accepted exact tie;>=100 authored paths; not player prevalence	JESKAI uses Initiative posture evidence; WU uses Public commitment evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
JUND	NAYA	MANDATORY-COVERAGE	mandatory structural coverage	adjacent three-color	JUND uses Initiative posture evidence; NAYA uses Theme-efficiency tradeoff evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.hall.theme.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
JUND	PRISMARI	EXACT-TIE	1;1	accepted exact tie	JUND uses Initiative posture evidence; PRISMARI uses Advantage tempo evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.gate.tempo.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
JUND	UB	EXACT-TIE	1;1	accepted exact tie	JUND uses Initiative posture evidence; UB uses Resource visibility evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
JUND	WUBRG	EXACT-TIE	6	accepted exact tie	JUND uses Initiative posture evidence; WUBRG uses Deck breadth and constraint evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.hall.breadth.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
LOREHOLD	NAYA	EXACT-TIE	6;1	accepted exact tie	LOREHOLD uses Disruption response evidence; NAYA uses Pressure channel evidence. No direct pair claim is made.	b1.gate.disruption.v1;b1.hall.pressure.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
LOREHOLD	R	EXACT-TIE;HIGH-FREQUENCY-P1/P2	136;2	accepted exact tie;>=100 authored paths; not player prevalence	LOREHOLD uses Disruption response evidence; R uses Initiative posture evidence. No direct pair claim is made.	b1.gate.disruption.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
LOREHOLD	WR	MANDATORY-COVERAGE	mandatory structural coverage	same-color guild/college	Direct scenario tests one bounded Commander behavior.	b1.crucible.wr.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
MARDU	R	EXACT-TIE	4	accepted exact tie	MARDU uses Pressure channel evidence; R uses Advantage tempo evidence. No direct pair claim is made.	b1.hall.pressure.v1;b1.gate.tempo.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
NAYA	R	EXACT-TIE;HIGH-FREQUENCY-P1/P2	214;2	accepted exact tie;>=100 authored paths; not player prevalence	NAYA uses Pressure channel evidence; R uses Initiative posture evidence. No direct pair claim is made.	b1.hall.pressure.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
NAYA	RG	HIGH-FREQUENCY-P1/P2	150	>=100 authored paths; not player prevalence	NAYA uses Threat posture evidence; RG uses Initiative posture evidence. No direct pair claim is made.	b1.hall.threat.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
NAYA	W	EXACT-TIE	1	accepted exact tie	NAYA uses Theme-efficiency tradeoff evidence; W uses Disruption response evidence. No direct pair claim is made.	b1.hall.theme.v1;b1.gate.disruption.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
NAYA	WG	EXACT-TIE	1;1	accepted exact tie	NAYA uses Pressure channel evidence; WG uses Public commitment evidence. No direct pair claim is made.	b1.hall.pressure.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
NAYA	WUBRG	EXACT-TIE	2	accepted exact tie	NAYA uses Pressure channel evidence; WUBRG uses Deck breadth and constraint evidence. No direct pair claim is made.	b1.hall.pressure.v1;b1.hall.breadth.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
NAYA	YORE	EXACT-TIE	2	accepted exact tie	NAYA uses Pressure channel evidence; YORE uses Engine concentration evidence. No direct pair claim is made.	b1.hall.pressure.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
PRISMARI	UB	EXACT-TIE	2;1	accepted exact tie	PRISMARI uses Advantage tempo evidence; UB uses Resource visibility evidence. No direct pair claim is made.	b1.gate.tempo.v1;b1.gate.visibility.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
PRISMARI	UR	MANDATORY-COVERAGE	mandatory structural coverage	same-color guild/college	Direct scenario tests one bounded Commander behavior.	b1.crucible.ur.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
PRISMARI	WR	EXACT-TIE	1	accepted exact tie	PRISMARI uses Advantage tempo evidence; WR uses Disruption response evidence. No direct pair claim is made.	b1.gate.tempo.v1;b1.gate.disruption.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
QUANDRIX	UG	MANDATORY-COVERAGE	mandatory structural coverage	same-color guild/college	Direct scenario tests one bounded Commander behavior.	b1.crucible.ug.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
QUANDRIX	WG	EXACT-TIE	1	accepted exact tie	QUANDRIX uses Engine concentration evidence; WG uses Public commitment evidence. No direct pair claim is made.	b1.hall.engine-shape.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
QUANDRIX	WITCH	EXACT-TIE	7	accepted exact tie	QUANDRIX uses Engine concentration evidence; WITCH uses Setup tolerance evidence. No direct pair claim is made.	b1.hall.engine-shape.v1;b1.hall.setup.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
R	W	EXACT-TIE;HIGH-FREQUENCY-P1/P2	205;6	accepted exact tie;>=100 authored paths; not player prevalence	R uses Initiative posture evidence; W uses Disruption response evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.gate.disruption.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
R	YORE	EXACT-TIE	3;2	accepted exact tie	R uses Initiative posture evidence; YORE uses Engine concentration evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
RG	U	EXACT-TIE	1	accepted exact tie	RG uses Pressure channel evidence; U uses Mana commitment and interaction window evidence. No direct pair claim is made.	b1.hall.pressure.v1;b1.hall.interaction-window.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
SILVERQUILL	TEMUR	EXACT-TIE	2	accepted exact tie	SILVERQUILL uses Public commitment evidence; TEMUR uses Initiative posture evidence. No direct pair claim is made.	b1.hall.commitment.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
SILVERQUILL	WB	MANDATORY-COVERAGE	mandatory structural coverage	same-color guild/college	Direct scenario tests one bounded Commander behavior.	b1.crucible.wb.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
SULTAI	TEMUR	MANDATORY-COVERAGE	mandatory structural coverage	adjacent three-color	SULTAI uses Resource sacrifice evidence; TEMUR uses Initiative posture evidence. No direct pair claim is made.	b1.hall.sacrifice.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
SULTAI	UB	EXACT-TIE	1	accepted exact tie	SULTAI uses Resource sacrifice evidence; UB uses Resource visibility evidence. No direct pair claim is made.	b1.hall.sacrifice.v1;b1.gate.visibility.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
SULTAI	WUBRG	EXACT-TIE	5;1	accepted exact tie	SULTAI uses Resource sacrifice evidence; WUBRG uses Deck breadth and constraint evidence. No direct pair claim is made.	b1.hall.sacrifice.v1;b1.hall.breadth.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
TEMUR	UB	EXACT-TIE	1	accepted exact tie	TEMUR uses Initiative posture evidence; UB uses Resource visibility evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
TEMUR	WUBRG	EXACT-TIE	1	accepted exact tie	TEMUR uses Initiative posture evidence; WUBRG uses Deck breadth and constraint evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.hall.breadth.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
U	UB	HIGH-FREQUENCY-P1/P2	143	>=100 authored paths; not player prevalence	U uses Initiative posture evidence; UB uses Resource visibility evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
U	W	EXACT-TIE;HIGH-FREQUENCY-P1/P2	195;7	accepted exact tie;>=100 authored paths; not player prevalence	U uses Initiative posture evidence; W uses Disruption response evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.gate.disruption.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
UB	WITCH	EXACT-TIE	1	accepted exact tie	UB uses Resource visibility evidence; WITCH uses Setup tolerance evidence. No direct pair claim is made.	b1.gate.visibility.v1;b1.hall.setup.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
UB	WUBRG	EXACT-TIE	1;1	accepted exact tie	UB uses Resource visibility evidence; WUBRG uses Deck breadth and constraint evidence. No direct pair claim is made.	b1.gate.visibility.v1;b1.hall.breadth.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
UB	YORE	HIGH-FREQUENCY-P1/P2	191	>=100 authored paths; not player prevalence	UB uses Resource visibility evidence; YORE uses Engine concentration evidence. No direct pair claim is made.	b1.gate.visibility.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
UG	WITCH	EXACT-TIE	1	accepted exact tie	UG uses Disruption response evidence; WITCH uses Repeatability preference evidence. No direct pair claim is made.	b1.gate.disruption.v1;b1.hall.repeatability.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
UR	YORE	EXACT-TIE	1	accepted exact tie	UR uses Advantage tempo evidence; YORE uses Resource sacrifice evidence. No direct pair claim is made.	b1.gate.tempo.v1;b1.hall.sacrifice.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
W	WU	HIGH-FREQUENCY-P1/P2	159	>=100 authored paths; not player prevalence	W uses Disruption response evidence; WU uses Mana commitment and interaction window evidence. No direct pair claim is made.	b1.gate.disruption.v1;b1.hall.interaction-window.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
W	WUBRG	HIGH-FREQUENCY-P1/P2	184	>=100 authored paths; not player prevalence	W uses Disruption response evidence; WUBRG uses Deck breadth and constraint evidence. No direct pair claim is made.	b1.gate.disruption.v1;b1.hall.breadth.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
