answer_id	question_id	construct_id	stage	review_disposition	construct_fidelity	scenario_fit	option_distinguishability	compound_construct_risk	desirability_or_skill_bias	identity_giveaway_risk	novice_clarity	title_sentence_alignment	observation_alignment	primary_signal_alignment	secondary_signal_alignment	dependency_alignment	exclusion_quality	evidence_authority	jargon_issue	limitation_quality	recommended_action	rationale	owner_review_required
b1.crucible.bg.v1.exchange	b1.crucible.bg.v1	C12	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C12 and SIG_C12_CONVERT; its proposed use for BG vs WITHERBLOOM is structurally sourced but not empirically validated.	YES
b1.crucible.bg.v1.neither	b1.crucible.bg.v1	C12	Crucible	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C12; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.crucible.wr.v1.intervene	b1.crucible.wr.v1	C03	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C03 and SIG_C03_PROTECT; its proposed use for WR vs LOREHOLD is structurally sourced but not empirically validated.	YES
b1.crucible.wr.v1.recover	b1.crucible.wr.v1	C03	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C03 and SIG_C03_RECOVER; its proposed use for WR vs LOREHOLD is structurally sourced but not empirically validated.	YES
b1.crucible.wr.v1.neither	b1.crucible.wr.v1	C03	Crucible	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C03; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.crucible.ug.v1.adapt	b1.crucible.ug.v1	C06	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C06 and SIG_C06_MODULAR; its proposed use for UG vs QUANDRIX is structurally sourced but not empirically validated.	YES
b1.crucible.ug.v1.scale	b1.crucible.ug.v1	C06	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C06 and SIG_C06_CENTRAL; its proposed use for UG vs QUANDRIX is structurally sourced but not empirically validated.	YES
b1.crucible.ug.v1.neither	b1.crucible.ug.v1	C06	Crucible	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C06; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.crucible.wb.v1.terms	b1.crucible.wb.v1	C13	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C13 and SIG_C13_DURABLE; its proposed use for WB vs SILVERQUILL is structurally sourced but not empirically validated.	YES
b1.crucible.wb.v1.influence	b1.crucible.wb.v1	C13	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C13 and SIG_C13_REVISABLE; its proposed use for WB vs SILVERQUILL is structurally sourced but not empirically validated.	YES
b1.crucible.wb.v1.neither	b1.crucible.wb.v1	C13	Crucible	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C13; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.crucible.bant.v1.refine	b1.crucible.bant.v1	C05	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	NONE	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C05 and SIG_C05_CENTERPIECE; its proposed use for BANT vs WITCH/INK/W/adjacent three-color is structurally sourced but not empirically validated.	YES
b1.crucible.bant.v1.network	b1.crucible.bant.v1	C05	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	NONE	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C05 and SIG_C05_RESILIENT_99; its proposed use for BANT vs WITCH/INK/W/adjacent three-color is structurally sourced but not empirically validated.	YES
b1.crucible.bant.v1.neither	b1.crucible.bant.v1	C05	Crucible	REWORD	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	REMEDIATED	REMEDIATED	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	NONE	REMEDIATED	Accept the applied plain-language correction; the construct and primary signal are unchanged.	The revised title or sentence removes jargon or adjacent-construct drift while preserving 'Rejects the proposed Bant boundary.' and SIG_C05_UNKNOWN.	NO
b1.crucible.grixis.v1.calculate	b1.crucible.grixis.v1	C01	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	REMEDIATED	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C01 and SIG_C01_REACTIVE; its proposed use for GRIXIS vs B/YORE/GLINT/UB/BR is structurally sourced but not empirically validated.	YES
b1.crucible.grixis.v1.convert	b1.crucible.grixis.v1	C01	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	REMEDIATED	REMEDIATED	PASS	NONE	PASS	REMEDIATED	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	REMEDIATED	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C01 and SIG_C01_PROACTIVE; its proposed use for GRIXIS vs B/YORE/GLINT/UB/BR is structurally sourced but not empirically validated.	YES
b1.crucible.grixis.v1.neither	b1.crucible.grixis.v1	C01	Crucible	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C01; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.crucible.sultai.v1.best	b1.crucible.sultai.v1	C12	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C12 and SIG_C12_CONVERT; its proposed use for SULTAI vs B/GLINT/BG/U/WITCH is structurally sourced but not empirically validated.	YES
b1.crucible.sultai.v1.cycle	b1.crucible.sultai.v1	C12	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C12 and SIG_C12_RECYCLE; its proposed use for SULTAI vs B/GLINT/BG/U/WITCH is structurally sourced but not empirically validated.	YES
b1.crucible.sultai.v1.neither	b1.crucible.sultai.v1	C12	Crucible	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C12; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.crucible.temur.v1.adapt	b1.crucible.temur.v1	C01	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	REMEDIATED	REMEDIATED	PASS	NONE	PASS	REMEDIATED	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	REMEDIATED	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C01 and SIG_C01_PROACTIVE; its proposed use for TEMUR vs G/INK/GLINT/PRISMARI/LOREHOLD is structurally sourced but not empirically validated.	YES
b1.crucible.temur.v1.reset	b1.crucible.temur.v1	C01	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	REMEDIATED	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C01 and SIG_C01_REACTIVE; its proposed use for TEMUR vs G/INK/GLINT/PRISMARI/LOREHOLD is structurally sourced but not empirically validated.	YES
b1.crucible.temur.v1.neither	b1.crucible.temur.v1	C01	Crucible	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C01; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.crucible.esper.v1.designed	b1.crucible.esper.v1	C06	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C06 and SIG_C06_CENTRAL; its proposed use for ESPER vs U/YORE/JESKAI/W/WU is structurally sourced but not empirically validated.	YES
b1.crucible.esper.v1.flexible	b1.crucible.esper.v1	C06	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C06 and SIG_C06_REDUNDANT; its proposed use for ESPER vs U/YORE/JESKAI/W/WU is structurally sourced but not empirically validated.	YES
b1.crucible.esper.v1.neither	b1.crucible.esper.v1	C06	Crucible	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C06; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.crucible.jeskai.v1.sequence	b1.crucible.jeskai.v1	C08	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C08 and SIG_C08_SPLIT; its proposed use for JESKAI vs INK/LOREHOLD/W/U/NAYA/ESPER is structurally sourced but not empirically validated.	YES
b1.crucible.jeskai.v1.commit	b1.crucible.jeskai.v1	C08	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C08 and SIG_C08_OWN_TURN; its proposed use for JESKAI vs INK/LOREHOLD/W/U/NAYA/ESPER is structurally sourced but not empirically validated.	YES
b1.crucible.jeskai.v1.wait	b1.crucible.jeskai.v1	C08	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C08 and SIG_C08_OPPONENT_TURN; its proposed use for JESKAI vs INK/LOREHOLD/W/U/NAYA/ESPER is structurally sourced but not empirically validated.	YES
b1.crucible.yore-glint.v1.engineered	b1.crucible.yore-glint.v1	C09	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C09 and SIG_C09_CONSISTENT; its proposed use for YORE vs GLINT is structurally sourced but not empirically validated.	YES
b1.crucible.yore-glint.v1.improvise	b1.crucible.yore-glint.v1	C09	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C09 and SIG_C09_VARIANT; its proposed use for YORE vs GLINT is structurally sourced but not empirically validated.	YES
b1.crucible.yore-glint.v1.neither	b1.crucible.yore-glint.v1	C09	Crucible	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C09; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.crucible.glint-dune.v1.shifting	b1.crucible.glint-dune.v1	C11	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C11 and SIG_C11_ADAPTIVE; its proposed use for GLINT vs DUNE is structurally sourced but not empirically validated.	YES
b1.crucible.glint-dune.v1.front	b1.crucible.glint-dune.v1	C11	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C11 and SIG_C11_EMBRACE; its proposed use for GLINT vs DUNE is structurally sourced but not empirically validated.	YES
b1.crucible.glint-dune.v1.neither	b1.crucible.glint-dune.v1	C11	Crucible	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C11; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.crucible.dune-ink.v1.front	b1.crucible.dune-ink.v1	C13	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C13 and SIG_C13_BOUNDED; its proposed use for DUNE vs INK is structurally sourced but not empirically validated.	YES
b1.crucible.dune-ink.v1.commons	b1.crucible.dune-ink.v1	C13	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C13 and SIG_C13_DURABLE; its proposed use for DUNE vs INK is structurally sourced but not empirically validated.	YES
b1.crucible.dune-ink.v1.neither	b1.crucible.dune-ink.v1	C13	Crucible	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C13; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.crucible.ink-witch.v1.share	b1.crucible.ink-witch.v1	C14	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	NONE	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C14 and SIG_C14_EARLY_IMPACT; its proposed use for INK vs WITCH is structurally sourced but not empirically validated.	YES
b1.crucible.ink-witch.v1.compound	b1.crucible.ink-witch.v1	C14	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	NONE	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C14 and SIG_C14_LONG_SETUP; its proposed use for INK vs WITCH is structurally sourced but not empirically validated.	YES
b1.crucible.ink-witch.v1.depends	b1.crucible.ink-witch.v1	C14	Crucible	REWORD	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	REMEDIATED	REMEDIATED	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	NONE	REMEDIATED	Accept the applied plain-language correction; the construct and primary signal are unchanged.	The revised title or sentence removes jargon or adjacent-construct drift while preserving 'Reports deck-conditional setup tolerance.' and SIG_C14_CONDITIONAL.	NO
b1.crucible.witch-yore.v1.compound	b1.crucible.witch-yore.v1	C06	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C06 and SIG_C06_CENTRAL; its proposed use for WITCH vs YORE is structurally sourced but not empirically validated.	YES
b1.crucible.witch-yore.v1.convert	b1.crucible.witch-yore.v1	C06	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C06 and SIG_C06_REDUNDANT; its proposed use for WITCH vs YORE is structurally sourced but not empirically validated.	YES
b1.crucible.witch-yore.v1.neither	b1.crucible.witch-yore.v1	C06	Crucible	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C06; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.crucible.colorless-wubrg.v1.constraint	b1.crucible.colorless-wubrg.v1	C15	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	BOUNDED-DIRECT-BOUNDARY	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	REMEDIATED	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C15 and SIG_C15_NARROW; its proposed use for COLORLESS vs WUBRG is structurally sourced but not empirically validated.	YES
b1.crucible.colorless-wubrg.v1.breadth	b1.crucible.colorless-wubrg.v1	C15	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	BOUNDED-DIRECT-BOUNDARY	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	REMEDIATED	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C15 and SIG_C15_BROAD; its proposed use for COLORLESS vs WUBRG is structurally sourced but not empirically validated.	YES
b1.crucible.colorless-wubrg.v1.neither	b1.crucible.colorless-wubrg.v1	C15	Crucible	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	BOUNDED-DIRECT-BOUNDARY	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C15; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.crucible.mono-multi.v1.mono	b1.crucible.mono-multi.v1	C15	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	BOUNDED-DIRECT-BOUNDARY	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	REMEDIATED	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C15 and SIG_C15_NARROW; its proposed use for mono versus multicolor is structurally sourced but not empirically validated.	YES
b1.crucible.mono-multi.v1.multi	b1.crucible.mono-multi.v1	C15	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	BOUNDED-DIRECT-BOUNDARY	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	REMEDIATED	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C15 and SIG_C15_BROAD; its proposed use for mono versus multicolor is structurally sourced but not empirically validated.	YES
b1.crucible.mono-multi.v1.pattern	b1.crucible.mono-multi.v1	C15	Crucible	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	BOUNDED-DIRECT-BOUNDARY	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C15; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
