identity_id	identity_name	primary_behavioral_explanation	nearest_useful_alternative	observable_distinction	honest_limitation	commander_expression	table_read	useful_archetype_links	optional_profile_enrichment	recommendation_direction	dossier_learning_value	maze_or_matrix_next_step	owner_review_required	certified_identity_context	answer_observation_sources	certified_identity_sources	nearest_alternative_sources	content_readiness	instrument_observability	mapping_validation	content_rationale	observability_rationale	unresolved_validation_need
RG	Gruul Clans	The reading can explain direct, legible combat pressure backed by growth and resistance to imposed restraint	Naya	Gruul centers instinctive direct growth; Naya adds a broader communal or awe-centered expression	The pilot has no direct Gruul discriminator, so the result must not reduce Gruul to “likes attacking”	Ramp, stompy, lands, trample, haste, or combat multipliers	A transparent plan needs haste, protection, resilience, or threat density	Aggro; stompy; landfall; midrange	Timmy/Tammy may enrich desired experience, never determine Gruul	Explore commanders that make direct creature pressure resilient enough for multiplayer	Atlas supplies concrete Commander expression and a useful transparency tension	Compare Gruul with Naya and Red; open direct-growth Maze paths	NO	Gruul blends Red directness with Green memory of place.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/gruul_clans/gruul_clans.placement.json;data/raw-factions/gruul_clans/gruul_clans.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/naya/naya.placement.json;data/raw-factions/naya/naya.profile.json	CONTENT_READY	PARTIALLY_OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool observes relevant broad or family behavior but has no direct identity-specific discriminator.	Direct pilot discriminator absent; explanation value remains strong
SILVERQUILL	Silverquill College	The reading can explain overt influence that changes current table behavior without binding later choices	Orzhov Syndicate	Silverquill changes behavior through expression and social pressure; Orzhov extracts through obligation and cost	The identity association remains evidence-required and persuasion must not be confused with coercion	Political aggression, counters, attack incentives, goad, or rhetoric-themed combat	Public influence can redirect action while creating reputation risk	Political aggro; counters; goad	Social Negotiator can enrich deal practice only after placement	Explore commanders that use incentives or counters to make opponents act now	Atlas gives a direct same-color boundary and an ethical tablecraft path	Compare Silverquill with Orzhov; open political-pressure Maze paths	NO	Silverquill overlays White leadership and Black pressure through eloquence, rhetoric, word magic, and visible social influence.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/silverquill/silverquill.placement.json;data/raw-factions/silverquill/silverquill.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/orzhov_syndicate/orzhov_syndicate.placement.json;data/raw-factions/orzhov_syndicate/orzhov_syndicate.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Player validation of revisable-influence direction; result content is ready
SULTAI	Sultai Brood	The reading can explain flexible conversion of creatures, cards, life, and graveyard resources through a resilient engine	Golgari Swarm	Sultai should convert among several resource zones with planning; Golgari should center death and reuse more narrowly	High confusion remains and the exact resource-conversion prompt lacks direct player-language support	Self-mill, recursion, sacrifice, control, value engines, or graveyard combo	Several usable zones make a small battlefield misleading	Midrange-combo; reanimator; control; engine	System Architect may enrich cross-zone mechanism; not placement authority	Explore commanders that turn several resource zones into interchangeable fuel with clear recovery	Certified wedge dossier can teach resource mastery if the prompt evidence gap is stated	Compare Sultai with Golgari, Black, and Glint; open cross-zone Maze paths	YES	Sultai treats opportunity as material for power.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/sultai/sultai.placement.json;data/raw-factions/sultai/sultai.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/golgari_swarm/golgari_swarm.placement.json;data/raw-factions/golgari_swarm/golgari_swarm.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Direct player support for the C12 split and validated boundary against generic graveyard decks
TEMUR	Temur Frontier	The reading can explain adapting to the board that exists while preserving a proactive creature or spell plan	Green	Temur should pivot through present resources and momentum; Green should center growth within a single color's tools	High confusion remains and adaptive play is common to many midrange decks	Creatures plus spells, ramp, flash, cascade, combat, or big-mana value	A changing line can still be coherent and threatening	Midrange; ramp; spellslinger; combat	Johnny/Jenny may enrich improvisation only through self-report	Explore commanders that reward changing sequence without abandoning the deck's primary action	Certified wedge material offers discovery value but not a unique B1 signature	Compare Temur with Green, Glint, and Prismari; open adaptive-action Maze paths	YES	Temur treats survival as relationship with terrain, instinct, memory, and the living world.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/temur/temur.placement.json;data/raw-factions/temur/temur.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/green/green.placement.json;data/raw-factions/green/green.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Identity-specific observation separating Temur from generic flexible midrange
U	Blue	The reading can explain reserved resources, precise interaction windows, and preference for designed or flexible engines	Azorius Senate	Blue should explore one color's knowledge and timing; Azorius should add procedural stability and public order	Broad constructs do not establish mono-Blue and high confusion with multicolor control remains	Control, artifacts, spellslinger, tempo, theft, or combo	Open mana and hidden cards create threat-assessment burden	Control; tempo; spellslinger; combo	Mel may enrich elegance; Spike may enrich improvement, never cause placement	Explore mono-Blue commanders that use timing, cards, or artifacts to turn knowledge into a finish	Certified mono identity can teach preparation and refinement without diagnosing intellect	Compare Blue with Azorius, Dimir, and Quandrix; open timing Maze paths	YES	Blue believes no one is finished by default.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/blue/blue.placement.json;data/raw-factions/blue/blue.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/azorius_senate/azorius_senate.placement.json;data/raw-factions/azorius_senate/azorius_senate.profile.json	CONTENT_READY	PARTIALLY_OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool observes relevant broad or family behavior but has no direct identity-specific discriminator.	Direct mono discriminator and validated separation from multicolor knowledge identities
UB	House Dimir	The reading can explain comfort with hidden resources, uncertainty, and interaction after information becomes available	Blue	Dimir should use secrecy or information asymmetry as leverage; Blue should center knowledge and refinement without the same hidden-power emphasis	The pilot has no direct Dimir discriminator and hidden resources alone do not establish identity	Mill, evasion, theft, reanimation, hand disruption, or reactive control	Unknown plans attract suspicion and can be stronger than the visible board	Control; tempo; reanimator; mill	Social Negotiator may enrich information management only if self-reported	Explore commanders that turn hidden information or opponents' resources into advantage	Atlas supplies a clear table-perception tension and Commander directions	Compare Dimir with Blue and Grixis; open hidden-information Maze paths	NO	Dimir blends Blue knowledge with Black ambition.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/house_dimir/house_dimir.placement.json;data/raw-factions/house_dimir/house_dimir.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/blue/blue.placement.json;data/raw-factions/blue/blue.profile.json	CONTENT_READY	PARTIALLY_OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool observes relevant broad or family behavior but has no direct identity-specific discriminator.	Direct pilot discriminator absent; result explanation remains useful
UG	Simic Combine	The reading can explain an adaptive ecosystem of lands, counters, creatures, and overlapping value pieces	Quandrix College	Simic grows through organic adaptation and accumulation; Quandrix models discrete multiplication	The approved C06 association is evidence-required and does not directly test the Atlas's organic-versus-mathematical distinction	Lands, counters, evolving creatures, card draw, or overlapping creature engines	Incremental growth may already represent future inevitability	Midrange; ramp; counters; landfall	Master Planner may enrich trajectory after placement	Explore commanders whose board evolves through interacting creatures or lands rather than a single mathematical leap	Atlas gives a strong same-color boundary and threat-trajectory lesson	Compare Simic with Quandrix; open adaptive-growth Maze paths	NO	Simic studies life as living systems to heal, adapt, and improve through biology, clades, and public health.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/simic_combine/simic_combine.placement.json;data/raw-factions/simic_combine/simic_combine.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/quandrix/quandrix.placement.json;data/raw-factions/quandrix/quandrix.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Player evidence connecting overlapping-engine observation to Simic rather than generic resilience
UR	Izzet League	The reading can explain satisfaction from repeated spell experiments, copies, triggers, and an engine that improves through process	Prismari College	Izzet values iterative process and spell volume; Prismari values the extraordinary presentation	Current B1 distinctiveness is insufficient and the directional association remains evidence-required	Spellslinger, copying, artifact engines, draw-discard, or storm-like sequences	Many small actions can conceal a decisive engine and create explanation burden	Spellslinger; combo; artifacts	Mel or Johnny/Jenny may enrich structure/expression only by self-report	Explore commanders that reward repeated casts or experiments and keep the sequence legible	Atlas gives a clear same-color boundary and a concrete process-versus-showcase lesson	Compare Izzet with Prismari; open iterative-spell Maze paths	NO	Izzet blends Blue knowledge with Red freedom.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/izzet_league/izzet_league.placement.json;data/raw-factions/izzet_league/izzet_league.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/prismari/prismari.placement.json;data/raw-factions/prismari/prismari.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Player validation of C04 direction and stronger direct distinctiveness evidence
W	White	The reading can explain protection, stated commitments, and visible collective or rule-based pressure	Azorius Senate	White should explore one color's protection and duty; Azorius should add planning and procedure as the central method	Broad constructs do not establish mono-White and confusion spans several multicolor identities	Tokens, protection, equipment, taxes, recursion, or rule-setting	Public rules and boards make both protection and threat visible	Tokens; control; aggro; equipment	Social Negotiator or Vorthos may enrich table/theme context only after placement	Explore mono-White commanders that turn protection or shared structure into a clear game plan	Certified mono identity can teach order and responsibility without moral ranking	Compare White with Azorius, Selesnya, and Bant; open protection Maze paths	YES	White believes peace is not a mood.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/white/white.placement.json;data/raw-factions/white/white.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/azorius_senate/azorius_senate.placement.json;data/raw-factions/azorius_senate/azorius_senate.profile.json	CONTENT_READY	PARTIALLY_OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool observes relevant broad or family behavior but has no direct identity-specific discriminator.	Direct mono discriminator and empirical separation from multicolor order identities
WB	Orzhov Syndicate	The reading can explain clear obligations, costs, and incremental extraction that remain legible after the deal	Silverquill College	Orzhov binds through cost and obligation; Silverquill changes immediate behavior through expression	The directional association remains evidence-required and political behavior alone cannot establish Orzhov	Taxes, drain, aristocrats, sacrifice, recursion, or debt-themed value	Small repeated costs can become the real table threat	Aristocrats; control; midrange	Social Negotiator may enrich agreements but not extraction identity	Explore commanders that make payment, death, or obligation feed a cumulative plan	Atlas gives a strong same-color distinction and a useful “make accumulation visible” lesson	Compare Orzhov with Silverquill; open obligation-and-drain Maze paths	NO	Orzhov blends White structure with Black ambition.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/orzhov_syndicate/orzhov_syndicate.placement.json;data/raw-factions/orzhov_syndicate/orzhov_syndicate.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/silverquill/silverquill.placement.json;data/raw-factions/silverquill/silverquill.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Player validation of cost-bearing-terms direction; result content is ready
WG	Selesnya Conclave	The reading can explain strength built through a network of creatures, tokens, counters, or enchantments	Naya	Selesnya centers collective growth and interdependence; Naya adds awe, scale, and more direct visible pressure	The pilot has no direct Selesnya discriminator and a Green-White Voltron deck can invert the collective pattern	Tokens, counters, enchantments, convoke, anthems, or go-wide	A broad board can look dangerous before it has closure and is vulnerable to wipes	Tokens; enchantress; midrange; aggro	Vorthos may enrich community meaning only by self-report	Explore commanders that reward a distributed board and include recovery plus a finish	Atlas provides clear Commander expression and a useful overcommitment tension	Compare Selesnya with Naya and Bant; open network-growth Maze paths	NO	Selesnya blends Green growth with White order.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/selesnya_conclave/selesnya_conclave.placement.json;data/raw-factions/selesnya_conclave/selesnya_conclave.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/naya/naya.placement.json;data/raw-factions/naya/naya.profile.json	CONTENT_READY	PARTIALLY_OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool observes relevant broad or family behavior but has no direct identity-specific discriminator.	Direct pilot discriminator absent; result explanation remains useful
WITCH	Witch / Growth	The reading can explain a long setup and one central engine that compounds resources across turns	Abzan Houses	Witch should emphasize compounding trajectory; Abzan should emphasize durable protection and recovery	The four-color association is evidence-required and a central value engine is not unique to Witch	Counters, lands, tokens, enchantments, or value engines across four colors	Quiet setup can represent future inevitability and archenemy risk	Engine; midrange; combo	Master Planner may enrich long-horizon satisfaction after placement	Explore commanders whose non-Red breadth supports a central growing system and early stabilization	Certified four-color dossier can teach the non-Red growth lane if value-generic claims are avoided	Compare Witch with Abzan, Bant, and Quandrix; open compounding-growth Maze paths	YES	Witch believes the future should be cultivated before it is claimed.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/witch/witch.placement.json;data/raw-factions/witch/witch.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/abzan/abzan.placement.json;data/raw-factions/abzan/abzan.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Validated identity-specific boundary and comprehension of the Witch expression name
WITHERBLOOM	Witherbloom College	The reading can explain treating life gain, life payment, pests, and sacrifice as material to transform	Golgari Swarm	Witherbloom moves life as a resource; Golgari reuses what died through the graveyard	The directional association remains evidence-required and sacrifice alone is shared by both identities	Life gain/loss, pests, sacrifice, drain, tokens, or resource exchange	Life total movement may be an engine rather than merely defense	Aristocrats; lifegain; midrange	System Architect may enrich conversion; never determine Witherbloom	Explore commanders that repeatedly spend and regain life for a defined output	Atlas gives a strong same-color distinction and a practical resource-tracking lesson	Compare Witherbloom with Golgari; open life-conversion Maze paths	NO	Witherbloom overlays Black ambition and Green growth through life-death craft, medicine, decay, nourishment, pests, and resource exchange.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/witherbloom/witherbloom.placement.json;data/raw-factions/witherbloom/witherbloom.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/golgari_swarm/golgari_swarm.placement.json;data/raw-factions/golgari_swarm/golgari_swarm.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Player validation of exchange direction; result content is ready
WR	Boros Legion	The reading can explain organized direct intervention, visible combat pressure, and protecting the present line	Lorehold College	Boros acts now through organized force; Lorehold recovers and learns from what already happened	The directional association remains evidence-required and protection can appear in many identities	Combat, equipment, attack triggers, tokens, protection, or extra combats	A transparent plan needs resilience and a post-wipe route	Aggro; Voltron; tokens	Spike may enrich disciplined improvement; never make combat proof of motivation	Explore commanders that turn coordinated attacks or equipment into sustained pressure	Atlas gives a clear same-color boundary and a useful recovery tension	Compare Boros with Lorehold; open direct-intervention Maze paths	NO	Boros blends Red freedom with White order.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/boros_legion/boros_legion.placement.json;data/raw-factions/boros_legion/boros_legion.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/lorehold/lorehold.placement.json;data/raw-factions/lorehold/lorehold.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Player validation of protection/recovery direction; result content is ready
WU	Azorius Senate	The reading can explain holding interaction, maintaining explicit commitments, and converting stability into a patient finish	Bant	Azorius centers procedure and controlled balance; Bant centers visible communal support behind a worthy line	The pilot has no direct Azorius discriminator and open mana alone does not establish identity	Control, taxes, blink, protective value, or patient win conditions	Repeated denial without a close can feel like delay rather than control	Control; blink; tempo	Mel may enrich procedural elegance only after placement	Explore commanders that reward precise timing and make the closing plan explicit	Atlas supplies a strong identity lens and an actionable “stability must convert” lesson	Compare Azorius with Bant, Blue, and White; open stability-and-timing Maze paths	NO	Azorius blends White order with Blue planning.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/azorius_senate/azorius_senate.placement.json;data/raw-factions/azorius_senate/azorius_senate.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/bant/bant.placement.json;data/raw-factions/bant/bant.profile.json	CONTENT_READY	PARTIALLY_OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool observes relevant broad or family behavior but has no direct identity-specific discriminator.	Direct pilot discriminator absent; result explanation remains useful
WUBRG	Five-Color / WUBRG	The reading can explain wanting the full color palette available before choosing a unifying theme, mechanic, collection, or rule	Colorless	Five-Color begins with a self-chosen boundary: broad access is preserved first, then the builder chooses the theme, mechanic, collection, or rule. Colorless starts from an imposed boundary	This boundary remains unvalidated. Broad access does not imply playing everything, goodstuff, complexity, power, optimization, or an unwillingness to use severe self-chosen restrictions	A five-color Commander whose full palette serves one declared concept, including theme-, mechanic-, typal-, collection-, or favorite-card-led builds	Broad access does not reveal the plan; the chosen concept still needs to make the deck legible	Theme-led; mechanic-led; typal; toolbox; no power level inferred	Johnny/Jenny or Vorthos may enrich the reason for breadth only by self-report	Explore five-color commanders only when the full palette serves a stated concept or chosen rule rather than standing in for one	Certified WUBRG material can teach totality versus overload and prevent “all colors means no position”	Compare WUBRG with Colorless and the same play pattern in fewer colors	YES	Five-Color asks what happens when every color is allowed to speak without any one color becoming the whole answer.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/wubrg/wubrg.placement.json;data/raw-factions/wubrg/wubrg.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/colorless/colorless.placement.json;data/raw-factions/colorless/colorless.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Independent behavioral support beyond preserving broad access, plus player validation against narrower pools and self-restricted five-color decks
YORE	Yore / Artifice	The reading can describe a repeatable conversion system built from replaceable pieces	Glint / Chaos	Yore's certified context centers constructed agency that rebuilds around natural limits; Glint centers adaptive living volatility. Stable architecture versus a changing route only approximates that boundary	C06 and C09 observe engine structure and repeatability, not Yore's full constructed-agency or missing-Green frame; generic artifacts and combo remain false positives	Artifact, recursion, or conversion decks where replaceable parts keep a constructed system operating	A repeatable machine can look inevitable, but engine legibility does not establish why the player wants it	Artifacts; recursion; engine-combo; conversion	System Architect may enrich mechanism coherence after placement	Explore commanders that rebuild a conversion system through replaceable parts while keeping the closing line explainable	Certified four-color material supports discovery but not yet a defensible placement explanation	Compare Yore with Glint, Esper, and Black; open artifact-conversion Maze paths	YES	Yore believes the given world is not the final world.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/yore/yore.placement.json;data/raw-factions/yore/yore.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/glint/glint.placement.json;data/raw-factions/glint/glint.profile.json	CONTENT_READY	NOT_CLEANLY_OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	C06/C09 observe engine structure and repeatability, but behavior does not establish Yore's constructed-agency identity lens; guarded self-report remains a separate evidence class.	An approved B1 observation of constructed agency against natural limits, plus evidence separating Yore from generic artifact and combo engines
