pair_id	identity_a	identity_b	cluster	shared_constructs	approved_question_ids	observable_distinction_recorded	baseline_disposition	final_disposition	mapping_action	provenance
JUND__PRISMARI	JUND	PRISMARI	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.gate.initiative.v1;b1.gate.tempo.v1;b1.crucible.mono-multi.v1	JUND uses Initiative posture evidence; PRISMARI uses Advantage tempo evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#JUND__PRISMARI;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#JUND__PRISMARI
JUND__UB	JUND	UB	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.gate.initiative.v1;b1.gate.visibility.v1;b1.crucible.mono-multi.v1	JUND uses Initiative posture evidence; UB uses Resource visibility evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#JUND__UB;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#JUND__UB
JUND__WUBRG	JUND	WUBRG	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.gate.initiative.v1;b1.hall.breadth.v1;b1.crucible.mono-multi.v1	JUND uses Initiative posture evidence; WUBRG uses Deck breadth and constraint evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#JUND__WUBRG;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#JUND__WUBRG
LOREHOLD__NAYA	LOREHOLD	NAYA	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C10	b1.gate.disruption.v1;b1.hall.pressure.v1;b1.crucible.mono-multi.v1	LOREHOLD uses Disruption response evidence; NAYA uses Pressure channel evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#LOREHOLD__NAYA;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#LOREHOLD__NAYA
NAYA__RG	NAYA	RG	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C07;C10	b1.hall.threat.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	NAYA uses Threat posture evidence; RG uses Initiative posture evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#NAYA__RG;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#NAYA__RG
NAYA__WG	NAYA	WG	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C10	b1.hall.pressure.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	NAYA uses Pressure channel evidence; WG uses Public commitment evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#NAYA__WG;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#NAYA__WG
NAYA__WUBRG	NAYA	WUBRG	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C10	b1.hall.pressure.v1;b1.hall.breadth.v1;b1.crucible.mono-multi.v1	NAYA uses Pressure channel evidence; WUBRG uses Deck breadth and constraint evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#NAYA__WUBRG;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#NAYA__WUBRG
NAYA__YORE	NAYA	YORE	C1_YORE_NON_CLEAN_OBSERVABILITY		b1.hall.pressure.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	NAYA uses Pressure channel evidence; YORE uses Engine concentration evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_NOT_CLEANLY_OBSERVABLE	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#NAYA__YORE;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#NAYA__YORE
PRISMARI__UB	PRISMARI	UB	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C11	b1.gate.tempo.v1;b1.gate.visibility.v1;b1.crucible.mono-multi.v1	PRISMARI uses Advantage tempo evidence; UB uses Resource visibility evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#PRISMARI__UB;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#PRISMARI__UB
PRISMARI__WR	PRISMARI	WR	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.gate.tempo.v1;b1.gate.disruption.v1;b1.crucible.mono-multi.v1	PRISMARI uses Advantage tempo evidence; WR uses Disruption response evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#PRISMARI__WR;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#PRISMARI__WR
QUANDRIX__WG	QUANDRIX	WG	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.hall.engine-shape.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	QUANDRIX uses Engine concentration evidence; WG uses Public commitment evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#QUANDRIX__WG;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#QUANDRIX__WG
QUANDRIX__WITCH	QUANDRIX	WITCH	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C06;C09;C14	b1.hall.engine-shape.v1;b1.hall.setup.v1;b1.crucible.mono-multi.v1	QUANDRIX uses Engine concentration evidence; WITCH uses Setup tolerance evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#QUANDRIX__WITCH;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#QUANDRIX__WITCH
R__W	R	W	C2_MONO_IDENTITY_NOT_SEPARATED_BY_BREADTH		b1.gate.initiative.v1;b1.gate.disruption.v1;b1.crucible.mono-multi.v1	R uses Initiative posture evidence; W uses Disruption response evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#R__W;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#R__W
SILVERQUILL__TEMUR	SILVERQUILL	TEMUR	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.hall.commitment.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	SILVERQUILL uses Public commitment evidence; TEMUR uses Initiative posture evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#SILVERQUILL__TEMUR;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#SILVERQUILL__TEMUR
SULTAI__TEMUR	SULTAI	TEMUR	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C14	b1.hall.sacrifice.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	SULTAI uses Resource sacrifice evidence; TEMUR uses Initiative posture evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#SULTAI__TEMUR;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#SULTAI__TEMUR
SULTAI__UB	SULTAI	UB	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.hall.sacrifice.v1;b1.gate.visibility.v1;b1.crucible.mono-multi.v1	SULTAI uses Resource sacrifice evidence; UB uses Resource visibility evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#SULTAI__UB;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#SULTAI__UB
SULTAI__WUBRG	SULTAI	WUBRG	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.hall.sacrifice.v1;b1.hall.breadth.v1;b1.crucible.mono-multi.v1	SULTAI uses Resource sacrifice evidence; WUBRG uses Deck breadth and constraint evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#SULTAI__WUBRG;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#SULTAI__WUBRG
TEMUR__UB	TEMUR	UB	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.gate.initiative.v1;b1.gate.visibility.v1;b1.crucible.mono-multi.v1	TEMUR uses Initiative posture evidence; UB uses Resource visibility evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#TEMUR__UB;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#TEMUR__UB
TEMUR__WUBRG	TEMUR	WUBRG	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.gate.initiative.v1;b1.hall.breadth.v1;b1.crucible.mono-multi.v1	TEMUR uses Initiative posture evidence; WUBRG uses Deck breadth and constraint evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#TEMUR__WUBRG;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#TEMUR__WUBRG
U__W	U	W	C2_MONO_IDENTITY_NOT_SEPARATED_BY_BREADTH		b1.gate.initiative.v1;b1.gate.disruption.v1;b1.crucible.mono-multi.v1	U uses Initiative posture evidence; W uses Disruption response evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#U__W;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#U__W
UB__WITCH	UB	WITCH	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.gate.visibility.v1;b1.hall.setup.v1;b1.crucible.mono-multi.v1	UB uses Resource visibility evidence; WITCH uses Setup tolerance evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#UB__WITCH;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#UB__WITCH
UB__WUBRG	UB	WUBRG	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.gate.visibility.v1;b1.hall.breadth.v1;b1.crucible.mono-multi.v1	UB uses Resource visibility evidence; WUBRG uses Deck breadth and constraint evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#UB__WUBRG;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#UB__WUBRG
UB__YORE	UB	YORE	C1_YORE_NON_CLEAN_OBSERVABILITY		b1.gate.visibility.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	UB uses Resource visibility evidence; YORE uses Engine concentration evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_NOT_CLEANLY_OBSERVABLE	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#UB__YORE;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#UB__YORE
UG__WITCH	UG	WITCH	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C06;C14	b1.gate.disruption.v1;b1.hall.repeatability.v1;b1.crucible.mono-multi.v1	UG uses Disruption response evidence; WITCH uses Repeatability preference evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#UG__WITCH;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#UG__WITCH
UR__YORE	UR	YORE	C1_YORE_NON_CLEAN_OBSERVABILITY	C06;C09	b1.gate.tempo.v1;b1.hall.sacrifice.v1;b1.crucible.mono-multi.v1	UR uses Advantage tempo evidence; YORE uses Resource sacrifice evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_NOT_CLEANLY_OBSERVABLE	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#UR__YORE;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#UR__YORE
WB__WITCH	WB	WITCH	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C09	b1.hall.commitment.v1;b1.hall.setup.v1;b1.crucible.mono-multi.v1	WB uses Public commitment evidence; WITCH uses Setup tolerance evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#WB__WITCH;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#WB__WITCH
WB__WR	WB	WR	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.hall.commitment.v1;b1.gate.disruption.v1;b1.crucible.mono-multi.v1	WB uses Public commitment evidence; WR uses Disruption response evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#WB__WR;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#WB__WR
WR__YORE	WR	YORE	C1_YORE_NON_CLEAN_OBSERVABILITY		b1.gate.disruption.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	WR uses Disruption response evidence; YORE uses Engine concentration evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_NOT_CLEANLY_OBSERVABLE	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#WR__YORE;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#WR__YORE
