id,card_name,set_or_context,type_line,color_identity,canonical_basis,mechanic_or_role,primary_mechanic_tags,board_role,tempo_profile,structural_axis,vox_mana_read,narrative_tags,animation_hook,placement_usage,source_url
SIMIC-064,Aeromunculus,Ravnica Allegiance,Creature — Homunculus Mutant,G/U,Simic watermark / adapt creature,adapt / flying,adapt/evasion,evasive scaler,scaling / compounding,winged lab specimen,A small flyer that pays mana to improve itself when conditions allow.,adapt,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-065,Applied Biomancy,Ravnica Allegiance,Instant,G/U,Simic watermark / biomancy spell,bounce + pump/debuff,tempo trick,tempo biomancy,utility / flexible,field adjustment,The lab changes one body and relocates another in the same motion.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-066,Biogenic Ooze,Ravnica Allegiance,Creature — Ooze,G,Simic watermark / biomantic token engine,ooze tokens / counters,tokens/counters,wide growth engine,scaling / compounding,mitotic ooze colony,Growth becomes a self-replicating colony.,+1/+1 counters; biomass,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-067,Biomancer’s Familiar,Ravnica Allegiance,Creature — Mutant,G/U,Simic watermark / adapt enabler,activated ability discount,activated ability support,adapt enabler,utility / flexible,symbiotic research assistant,The familiar makes improvement cheaper and repeatable.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-068,Combine Guildmage,Ravnica Allegiance,Creature — Merfolk Wizard,G/U,Simic-named guildmage,adapt support / counters,adapt/counter support,guild technician,scaling / compounding,combine field operator,The guildmage accelerates adaptation and moves growth into combat relevance.,adapt; +1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-069,Essence Capture,Ravnica Allegiance,Instant,U,Simic watermark / counter growth answer,counter creature + counter,counter/counter placement,answer into growth,scaling / compounding,captured specimen energy,Stopping a creature spell becomes fuel for a friendly organism.,+1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-070,Galloping Lizrog,Ravnica Allegiance,Creature — Frog Lizard,G/U,Simic watermark / adapt/counter payoff,counter consolidation,counter consolidation,burst finisher,scaling / compounding,counter-devouring krasis,All prior growth collapses into one massive adapted body.,adapt; +1/+1 counters; krasis,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-071,Growth Spiral,Ravnica Allegiance,Instant,G/U,Simic watermark / iconic value spell,draw + land,draw/ramp,instant ramp value,resource acceleration,spiral ecosystem acceleration,Simic development happens as knowledge and land enter together.,knowledge; growth,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-072,Growth-Chamber Guardian,Ravnica Allegiance,Creature — Elf Crab Warrior,G,Simic watermark / adapt chain,adapt / self-search,adapt/tutor,redundant organism chain,scaling / compounding,guardian replication line,One adapted guardian locates the next.,adapt,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-073,Hydroid Krasis,Ravnica Allegiance,Creature — Jellyfish Hydra Beast,G/U,Simic watermark / iconic krasis,X-scaling / draw / life / flying trample,X-scaling/value,apex value finisher,utility / flexible,many-headed resource organism,"The quintessential krasis converts mana into body, cards, life, and evasion.",krasis; knowledge; growth,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-074,Incubation // Incongruity,Ravnica Allegiance,Sorcery // Instant,G/U,Simic watermark / split biomancy,creature selection / transform exile,selection/removal,search and rewrite,interactive control,lab incubation fork,Find the right organism or rewrite the wrong one.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-075,Incubation Druid,Ravnica Allegiance,Creature — Elf Druid,G,Simic watermark / ramp adapt,mana dork / adapt,adapt/ramp,ramp scaler,scaling / compounding,accelerating specimen,The ramp organism becomes far stronger once adapted.,adapt; growth,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-076,Mass Manipulation,Ravnica Allegiance,Sorcery,U,Simic watermark / big control spell,large theft spell,control/theft,late-game takeover,interactive control,neural override bloom,"At sufficient scale, the Combine rewrites ownership of the battlefield.",override,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-077,Mesmerizing Benthid,Ravnica Allegiance,Creature — Octopus,U,Simic watermark / aquatic defender,illusion tokens / hexproof-like shield,tokens/protection,defensive board maker,utility / flexible,deep-sea decoy organism,The benthic specimen protects itself through decoy bodies.,protection; biomass,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-078,Prime Speaker Vannifar,Ravnica Allegiance,Legendary Creature — Elf Ooze Wizard,G/U,Simic Prime Speaker legendary,creature-chain tutoring,creature tutor,leader / pod engine,utility / flexible,evolutionary chain command,Vannifar turns each organism into the next stage of a planned evolution.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-079,Repudiate // Replicate,Ravnica Allegiance,Instant // Sorcery,G/U,Simic watermark / split card,stifle/copy token,stifle/token copy,answer or clone,interactive control,adaptive branch protocol,Either deny an opposing function or duplicate a successful organism.,adapt; biomass,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-080,Sauroform Hybrid,Ravnica Allegiance,Creature — Human Lizard Warrior,G,Simic watermark / adapt common,adapt body,adapt/body,efficient scaler,scaling / compounding,saurian human synthesis,The hybrid begins simple and pays mana to become a larger experiment.,adapt,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-081,Sharktocrab,Ravnica Allegiance,Creature — Shark Octopus Crab,G/U,Simic watermark / iconic krasis,adapt / tap freeze,adapt/tapdown,control body,scaling / compounding,multi-species lockdown predator,Growth lets the predator pin opposing bodies in place.,adapt,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-082,Simic Ascendancy,Ravnica Allegiance,Enchantment,G/U,Simic-named enchantment,counter accumulation alternate win,alt win/counters,progress meter,scaling / compounding,evolution threshold doctrine,"When enough growth has been proven, the Combine wins by becoming inevitable.",+1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-083,Simic Guildgate,Ravnica Allegiance,Land — Gate,G/U,Simic guild land,guild fixing,mana fixing,infrastructure,resource acceleration,zonot access gate,The passage into the Combine’s blue-green civic body.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-084,Simic Locket,Ravnica Allegiance,Artifact,Colorless,Simic-named guild artifact,mana rock / draw,mana/draw,guild infrastructure,resource acceleration,research locket,A portable research battery that later converts into cards.,knowledge,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-085,Skatewing Spy,Ravnica Allegiance,Creature — Vedalken Rogue Mutant,U,Simic watermark / adapt payoff,adapt / grants flying,adapt/evasion payoff,evasion payoff,scaling / compounding,winged espionage mutation,Adapted organisms gain access to aerial routes.,adapt,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-086,Skitter Eel,Ravnica Allegiance,Creature — Fish Crab,U,Simic watermark / adapt common,adapt body,adapt/body,defensive scaler,scaling / compounding,electric carapace specimen,A simple blue organism made stronger by paid adaptation.,adapt,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-087,Trollbred Guardian,Ravnica Allegiance,Creature — Troll Frog Warrior,G,Simic watermark / adapt payoff,adapt / grants trample,adapt/counter payoff,counter payoff,scaling / compounding,guardian breakthrough mutation,Countered creatures turn raw size into damage.,adapt; +1/+1 counters; growth,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-088,"Zegana, Utopian Speaker",Ravnica Allegiance,Legendary Creature — Merfolk Wizard,G/U,Simic Prime Speaker legendary,adapt / draw / trample lord,adapt/draw/payoff,leader / counter payoff,scaling / compounding,speaker of optimized life,Zegana rewards the already improved and pushes adaptation toward utopia.,adapt; knowledge; growth,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-089,"Lonis, Genetics Expert",Ravnica: Clue Edition,Legendary Creature — Snake Elf Detective,G/U,Simic-watermarked current card per Scryfall result,Clue/value genetics,clues/value,investigation engine,utility / flexible,forensic biomancy,Research becomes literal investigation: every organism leaves usable evidence.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-090,"Vannifar, Evolved Enigma",Murders at Karlov Manor Commander,Legendary Creature — Elf Ooze Wizard,G/U,Simic leader character / current Simic alignment,disguise/cloak style evolution,hidden evolution,hidden adaptation commander,utility / flexible,encrypted evolution line,Vannifar expresses Simic evolution as hidden information and staged emergence.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
