id,faction,color_pair,card_name,set_context,type_line,color_identity,canonical_basis,confidence,mechanic_or_theme,translation_function,dimir_axis,structural_role,narrative_read,animation_motif,tags,source_url
DIM-071,House Dimir,blue-black,Deadly Visit,Guilds of Ravnica,Sorcery,{B},Dimir-watermark removal/surveil spell,strong,Destroy creature + surveil,Detain,Final Interview,Kills a creature and extracts information from the aftermath.,The visit ends the target and updates the file.,"black door closing, surveil eye records","removal, surveil, destroy",https://scryfall.com/search?q=%21%22Deadly%20Visit%22
DIM-072,House Dimir,blue-black,Price of Fame,Guilds of Ravnica,Instant,{B},Dimir-watermark assassin removal spell,strong,Legendary discount removal + surveil,Detain,Assassin Contract,Removes high-profile targets efficiently and surveils after the hit.,Fame makes the target easier to find.,contract signed over legendary silhouette,"removal, surveil, legendary hate",https://scryfall.com/search?q=%21%22Price%20of%20Fame%22
DIM-073,House Dimir,blue-black,Barrier of Bones,Guilds of Ravnica,Creature — Skeleton Wall,{B},Dimir-watermark surveil card,supported,Defender + surveil ETB,ConstraintField,Bone Checkpoint,Creates a defensive screen and filters the next draw.,Even the barricade reports what passed through.,bone wall with eye sockets glowing,"surveil, defender, skeleton",https://scryfall.com/search?q=%21%22Barrier%20of%20Bones%22
DIM-074,House Dimir,blue-black,Mephitic Vapors,Guilds of Ravnica,Sorcery,{B},Dimir-watermark sweeper/surveil card,supported,Small board debuff + surveil,ConstraintField,Toxic Cover,Weakens small creatures while filtering future action.,The mist thins the crowd and leaves a report behind.,"black vapor over tokens, surveil eye in fog","sweeper, surveil, debuff",https://scryfall.com/search?q=%21%22Mephitic%20Vapors%22
DIM-075,House Dimir,blue-black,Watcher in the Mist,Guilds of Ravnica,Creature — Spirit,{U},Dimir-watermark surveil creature,supported,ETB surveil 2 + flying,AccretionEngine,Mist Watcher,Adds evasive body plus deep topdeck selection.,The mist is not weather; it is observation.,mist figure with two cards reflected,"surveil, flying, spirit",https://scryfall.com/search?q=%21%22Watcher%20in%20the%20Mist%22
DIM-076,House Dimir,blue-black,Dream Eater,Guilds of Ravnica,Creature — Nightmare Sphinx,{U},Dimir-watermark flash/surveil/bounce card,strong,"Flash, surveil 4, bounce permanent",Detain,Nightmare Interception,"Appears at instant speed, digs deep, and removes a permanent.",The dream arrives after choices are made and edits the board anyway.,sphinx nightmare breaking through thought cloud,"flash, surveil, bounce, flying",https://scryfall.com/search?q=%21%22Dream%20Eater%22
DIM-077,House Dimir,blue-black,Doom Whisperer,Guilds of Ravnica,Creature — Nightmare Demon,{B},Dimir-watermark surveil engine,strong,Pay life to surveil 2 repeatedly,AccretionEngine,Abyssal Intelligence,Converts life into repeatable information filtering.,The demon whispers until the right future is found.,demon mouth speaking surveil eyes,"surveil, life payment, demon",https://scryfall.com/search?q=%21%22Doom%20Whisperer%22
DIM-078,House Dimir,blue-black,Enhanced Surveillance,Guilds of Ravnica,Enchantment,{U},Dimir-watermark surveillance engine,strong,Bigger surveil + graveyard reset,AccretionEngine,Expanded Network,Improves every surveil event and protects against self-depletion.,The network watches deeper and archives what should not be lost.,lens array expanding over library and graveyard,"surveil, engine, graveyard reset",https://scryfall.com/search?q=%21%22Enhanced%20Surveillance%22
DIM-079,House Dimir,blue-black,Citywatch Sphinx,Guilds of Ravnica,Creature — Sphinx,{U},Dimir-watermark death surveil card,supported,"Flying, dies surveil 2",AccretionEngine,Urban Overwatch,Maintains aerial presence and reports even in death.,"When the watcher falls, the report still reaches the House.",sphinx statue crumbling into eye glyphs,"flying, surveil, death trigger",https://scryfall.com/search?q=%21%22Citywatch%20Sphinx%22
DIM-080,House Dimir,blue-black,Dimir Locket,Guilds of Ravnica,Artifact,{U}{B},Dimir-named guild infrastructure,strong,Mana rock + draw sacrifice,AccretionEngine,Covert Reserve,Stores mana until cashed in for cards.,A locked resource becomes information when the time is right.,locket opening into blue-black cards,"artifact, ramp, draw",https://scryfall.com/search?q=%21%22Dimir%20Locket%22
