evidence_family,permitted_use,role_classification,explanation
runtime-generated model observations,tie handling,DIRECT-AUTHORITY,"Direct authority for what the committed implementation does, including counts and defects; not authority for semantic correctness or population behavior. For tie handling, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
runtime-generated model observations,confidence,DIRECT-AUTHORITY,"Direct authority for what the committed implementation does, including counts and defects; not authority for semantic correctness or population behavior. For confidence, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
runtime-generated model observations,adjacency,DIRECT-AUTHORITY,"Direct authority for what the committed implementation does, including counts and defects; not authority for semantic correctness or population behavior. For adjacency, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
runtime-generated model observations,placement explanations,DIRECT-AUTHORITY,"Direct authority for what the committed implementation does, including counts and defects; not authority for semantic correctness or population behavior. For placement explanations, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
runtime-generated model observations,Commander recommendations,DIRECT-AUTHORITY,"Direct authority for what the committed implementation does, including counts and defects; not authority for semantic correctness or population behavior. For Commander recommendations, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
runtime-generated model observations,Strategium routing,EXAMPLE-ONLY,"Direct authority for what the committed implementation does, including counts and defects; not authority for semantic correctness or population behavior. For Strategium routing, the role is EXAMPLE-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
runtime-generated model observations,Maze handoffs,DIRECT-AUTHORITY,"Direct authority for what the committed implementation does, including counts and defects; not authority for semantic correctness or population behavior. For Maze handoffs, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
runtime-generated model observations,public factual claims,EXAMPLE-ONLY,"Direct authority for what the committed implementation does, including counts and defects; not authority for semantic correctness or population behavior. For public factual claims, the role is EXAMPLE-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
future player-pilot evidence,identity definitions,DIRECT-AUTHORITY,"May support bounded usability, confusion, reliability, and outcome validation under a declared pilot design; not population prevalence absent representative sampling. For identity definitions, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
future player-pilot evidence,question wording,DIRECT-AUTHORITY,"May support bounded usability, confusion, reliability, and outcome validation under a declared pilot design; not population prevalence absent representative sampling. For question wording, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
future player-pilot evidence,answer wording,DIRECT-AUTHORITY,"May support bounded usability, confusion, reliability, and outcome validation under a declared pilot design; not population prevalence absent representative sampling. For answer wording, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
future player-pilot evidence,positive scoring,DIRECT-AUTHORITY,"May support bounded usability, confusion, reliability, and outcome validation under a declared pilot design; not population prevalence absent representative sampling. For positive scoring, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
future player-pilot evidence,negative scoring,DIRECT-AUTHORITY,"May support bounded usability, confusion, reliability, and outcome validation under a declared pilot design; not population prevalence absent representative sampling. For negative scoring, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
future player-pilot evidence,branching,DIRECT-AUTHORITY,"May support bounded usability, confusion, reliability, and outcome validation under a declared pilot design; not population prevalence absent representative sampling. For branching, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
future player-pilot evidence,tie handling,DIRECT-AUTHORITY,"May support bounded usability, confusion, reliability, and outcome validation under a declared pilot design; not population prevalence absent representative sampling. For tie handling, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
future player-pilot evidence,confidence,DIRECT-AUTHORITY,"May support bounded usability, confusion, reliability, and outcome validation under a declared pilot design; not population prevalence absent representative sampling. For confidence, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
future player-pilot evidence,adjacency,DIRECT-AUTHORITY,"May support bounded usability, confusion, reliability, and outcome validation under a declared pilot design; not population prevalence absent representative sampling. For adjacency, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
future player-pilot evidence,placement explanations,DIRECT-AUTHORITY,"May support bounded usability, confusion, reliability, and outcome validation under a declared pilot design; not population prevalence absent representative sampling. For placement explanations, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
future player-pilot evidence,Commander recommendations,DIRECT-AUTHORITY,"May support bounded usability, confusion, reliability, and outcome validation under a declared pilot design; not population prevalence absent representative sampling. For Commander recommendations, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
future player-pilot evidence,Strategium routing,DIRECT-AUTHORITY,"May support bounded usability, confusion, reliability, and outcome validation under a declared pilot design; not population prevalence absent representative sampling. For Strategium routing, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
future player-pilot evidence,Maze handoffs,DIRECT-AUTHORITY,"May support bounded usability, confusion, reliability, and outcome validation under a declared pilot design; not population prevalence absent representative sampling. For Maze handoffs, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
future player-pilot evidence,public factual claims,DIRECT-AUTHORITY,"May support bounded usability, confusion, reliability, and outcome validation under a declared pilot design; not population prevalence absent representative sampling. For public factual claims, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
