question_id,phase,exact_prompt,answer_identifiers_or_missing_status,intended_construct,actual_dimensions_tested,commander_relevance,wording_clarity,abstraction_burden,double_barreled_status,desirability_or_steering_risk,lore_dependence,mood_dependence,answer_overlap,repeated_signal_group,correlated_signal_group,uncertainty_representation,false_positive_risk,false_negative_risk,scoring_consistency,explanation_consistency,evidence_authority,final_disposition,remediation_implication
hall_ESPER_designed_control,hall,"A plan is nearly perfect, but one part keeps resisting optimization. What should happen next?","[""MISSING:hall_ESPER_designed_control#answer-1"",""MISSING:hall_ESPER_designed_control#answer-2"",""MISSING:hall_ESPER_designed_control#answer-3"",""MISSING:hall_ESPER_designed_control#answer-4""]",Differentiate ESPER; authored signals: designed control | obligation over optimization | hidden variable control | community over optimization,"[""social-behavior"",""aesthetic-or-narrative-preference"",""philosophical-preference""]",HIGH,LOW,HIGH,YES,HIGH,NOT-EXPLICIT,NOT-EXPLICIT,0.167,"[""uncontrolled-editorial-construct"",""community-and-belonging""]",overlapping:uncontrolled-editorial-construct+community-and-belonging,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 5,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_GRIXIS_survival_opening,hall,A hostile situation leaves one narrow opening. What makes the next move true?,"[""MISSING:hall_GRIXIS_survival_opening#answer-1"",""MISSING:hall_GRIXIS_survival_opening#answer-2"",""MISSING:hall_GRIXIS_survival_opening#answer-3"",""MISSING:hall_GRIXIS_survival_opening#answer-4""]",Differentiate GRIXIS; authored signals: calculated survival opening | legitimacy over survival | appetite over calculation | community over survival leverage,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]",LOW,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.125,"[""uncontrolled-editorial-construct"",""community-and-belonging""]",overlapping:uncontrolled-editorial-construct+community-and-belonging,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 5,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_GRIXIS_volatile_calculation,hall,"The information is incomplete, the pressure is rising, and delay has a cost. What wins your trust?","[""MISSING:hall_GRIXIS_volatile_calculation#answer-1"",""MISSING:hall_GRIXIS_volatile_calculation#answer-2"",""MISSING:hall_GRIXIS_volatile_calculation#answer-3"",""MISSING:hall_GRIXIS_volatile_calculation#answer-4""]",Differentiate GRIXIS; authored signals: volatile calculation | exact control over volatility | experiment over survival leverage | shared order over self-advocacy,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""philosophical-preference""]",HIGH,MEDIUM-HIGH,MEDIUM,YES,HIGH,NOT-EXPLICIT,PRESENT,0.1,"[""uncontrolled-editorial-construct"",""experiment-and-invention"",""procedure-and-order""]",overlapping:uncontrolled-editorial-construct+experiment-and-invention+procedure-and-order,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 5,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_JUND_instinct_pressure,hall,Pressure strips away the polite answer. What makes the next move true?,"[""MISSING:hall_JUND_instinct_pressure#answer-1"",""MISSING:hall_JUND_instinct_pressure#answer-2"",""MISSING:hall_JUND_instinct_pressure#answer-3"",""MISSING:hall_JUND_instinct_pressure#answer-4""]",Differentiate JUND; authored signals: instinct under pressure | legitimacy over instinct | belonging over appetite | calculation over gut truth,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""philosophical-preference""]",LOW,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.13,"[""growth-and-nature"",""community-and-belonging"",""uncontrolled-editorial-construct""]",overlapping:growth-and-nature+community-and-belonging+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 3,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_JUND_appetite_consequence,hall,A hunger rises with real cost attached. What makes it worth following?,"[""MISSING:hall_JUND_appetite_consequence#answer-1"",""MISSING:hall_JUND_appetite_consequence#answer-2"",""MISSING:hall_JUND_appetite_consequence#answer-3"",""MISSING:hall_JUND_appetite_consequence#answer-4""]",Differentiate JUND; authored signals: appetite with consequence | duty over appetite | performance over survival appetite | cycle over appetite,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]",HIGH,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.16,"[""uncontrolled-editorial-construct"",""protection-and-duty"",""expression-and-performance""]",overlapping:uncontrolled-editorial-construct+protection-and-duty+expression-and-performance,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 4,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_NAYA_living_whole,hall,"A living world pulls through care, instinct, and scale. What makes the next move trustworthy?","[""MISSING:hall_NAYA_living_whole#answer-1"",""MISSING:hall_NAYA_living_whole#answer-2"",""MISSING:hall_NAYA_living_whole#answer-3"",""MISSING:hall_NAYA_living_whole#answer-4""]",Differentiate NAYA; authored signals: belonging through protective abundance | shared community over living-world instinct | appetite over belonging | calculation over belonging,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]",LOW,LOW,HIGH,YES,HIGH,NOT-EXPLICIT,PRESENT,0.136,"[""protection-and-duty"",""community-and-belonging""]",overlapping:protection-and-duty+community-and-belonging,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 2,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_NAYA_abundance_instinct,hall,Scale is rising fast. When does abundance become wisdom instead of just size?,"[""MISSING:hall_NAYA_abundance_instinct#answer-1"",""MISSING:hall_NAYA_abundance_instinct#answer-2"",""MISSING:hall_NAYA_abundance_instinct#answer-3"",""MISSING:hall_NAYA_abundance_instinct#answer-4""]",Differentiate NAYA; authored signals: abundance held by belonging | appetite over abundance | sanctioned order over abundance | shared community over living-world scale,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk"",""philosophical-preference""]",HIGH,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,NOT-EXPLICIT,0.294,"[""community-and-belonging"",""uncontrolled-editorial-construct"",""procedure-and-order""]",overlapping:community-and-belonging+uncontrolled-editorial-construct+procedure-and-order,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 2,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_ABZAN_family_endurance,hall,"The house can survive, but only if the next move carries family duty forward. What makes endurance trustworthy?","[""MISSING:hall_ABZAN_family_endurance#answer-1"",""MISSING:hall_ABZAN_family_endurance#answer-2"",""MISSING:hall_ABZAN_family_endurance#answer-3"",""MISSING:hall_ABZAN_family_endurance#answer-4""]",Differentiate ABZAN; authored signals: family endurance through house continuity | growth over inherited duty | survival pressure over house continuity | public legitimacy over family continuity,"[""social-behavior"",""philosophical-preference""]",MEDIUM,MEDIUM,LOW,YES,HIGH,NOT-EXPLICIT,PRESENT,0.115,"[""uncontrolled-editorial-construct"",""protection-and-duty"",""speed-and-action""]",overlapping:uncontrolled-editorial-construct+protection-and-duty+speed-and-action,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 3,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_ABZAN_ancestor_perennation,hall,"Ancestors, roots, and the dead are present in the decision. How should memory guide the living?","[""MISSING:hall_ABZAN_ancestor_perennation#answer-1"",""MISSING:hall_ABZAN_ancestor_perennation#answer-2"",""MISSING:hall_ABZAN_ancestor_perennation#answer-3"",""MISSING:hall_ABZAN_ancestor_perennation#answer-4""]",Differentiate ABZAN; authored signals: ancestor duty through perennation | life-death cycle over house memory | living care over ancestor obligation | freedom from inherited duty,"[""social-behavior"",""philosophical-preference"",""lore-or-setting-proxy""]",LOW,LOW,HIGH,YES,HIGH,PRESENT,NOT-EXPLICIT,0.111,"[""protection-and-duty"",""decay-and-renewal"",""history-and-memory""]",overlapping:protection-and-duty+decay-and-renewal+history-and-memory,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_TEMUR_survival_attunement,hall,"The terrain is harsh, the signal is thin, and action has a cost. What makes the next move trustworthy?","[""MISSING:hall_TEMUR_survival_attunement#answer-1"",""MISSING:hall_TEMUR_survival_attunement#answer-2"",""MISSING:hall_TEMUR_survival_attunement#answer-3"",""MISSING:hall_TEMUR_survival_attunement#answer-4""]",Differentiate TEMUR; authored signals: attuned instinct before force | appetite over listening | optimization over wild signal | communal care over harsh-terrain instinct,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]",LOW,LOW,HIGH,YES,HIGH,NOT-EXPLICIT,PRESENT,0.174,"[""growth-and-nature"",""uncontrolled-editorial-construct""]",overlapping:growth-and-nature+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 4,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_TEMUR_elemental_memory,hall,"An old signal moves through stone, ice, storm, and ancestor memory. How should it guide the living?","[""MISSING:hall_TEMUR_elemental_memory#answer-1"",""MISSING:hall_TEMUR_elemental_memory#answer-2"",""MISSING:hall_TEMUR_elemental_memory#answer-3"",""MISSING:hall_TEMUR_elemental_memory#answer-4""]",Differentiate TEMUR; authored signals: elemental memory as survival guidance | ancestor duty over wild memory | leverage over elemental listening | abundance over harsh-terrain memory,"[""gameplay-or-deck-behavior"",""social-behavior"",""philosophical-preference"",""lore-or-setting-proxy""]",HIGH,LOW,HIGH,YES,HIGH,PRESENT,NOT-EXPLICIT,0.125,"[""history-and-memory"",""protection-and-duty"",""agency-and-leverage""]",overlapping:history-and-memory+protection-and-duty+agency-and-leverage,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 2,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_SULTAI_resource_conversion,hall,"A resource is ugly, hidden, or costly, but it could become power. What makes using it trustworthy?","[""MISSING:hall_SULTAI_resource_conversion#answer-1"",""MISSING:hall_SULTAI_resource_conversion#answer-2"",""MISSING:hall_SULTAI_resource_conversion#answer-3"",""MISSING:hall_SULTAI_resource_conversion#answer-4""]",Differentiate SULTAI; authored signals: ruthless resource conversion | house duty over resource conversion | attunement over ruthless conversion | spectacle over hidden conversion,"[""gameplay-or-deck-behavior"",""social-behavior"",""aesthetic-or-narrative-preference""]",HIGH,LOW,HIGH,YES,HIGH,NOT-EXPLICIT,PRESENT,0.167,"[""uncontrolled-editorial-construct"",""protection-and-duty"",""expression-and-performance""]",overlapping:uncontrolled-editorial-construct+protection-and-duty+expression-and-performance,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 3,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_SULTAI_dead_usefulness,hall,"The dead, the discarded, or the secret cost can still guide the living. What should happen next?","[""MISSING:hall_SULTAI_dead_usefulness#answer-1"",""MISSING:hall_SULTAI_dead_usefulness#answer-2"",""MISSING:hall_SULTAI_dead_usefulness#answer-3"",""MISSING:hall_SULTAI_dead_usefulness#answer-4""]",Differentiate SULTAI; authored signals: death converted into power | ancestor duty over necromantic utility | vitality ecology over ruthless utility | elemental memory over utility,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference"",""lore-or-setting-proxy""]",HIGH,LOW,HIGH,YES,HIGH,PRESENT,NOT-EXPLICIT,0.125,"[""agency-and-leverage"",""protection-and-duty"",""uncontrolled-editorial-construct"",""history-and-memory""]",overlapping:agency-and-leverage+protection-and-duty+uncontrolled-editorial-construct+history-and-memory,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 3,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_MARDU_total_commitment,hall,"The opening is here, but hesitation will break the charge. What makes action trustworthy?","[""MISSING:hall_MARDU_total_commitment#answer-1"",""MISSING:hall_MARDU_total_commitment#answer-2"",""MISSING:hall_MARDU_total_commitment#answer-3"",""MISSING:hall_MARDU_total_commitment#answer-4""]",Differentiate MARDU; authored signals: Red-centered speed through coordinated attack | house endurance over raid momentum | attunement over immediate charge | resource conversion over open assault,"[""gameplay-or-deck-behavior"",""social-behavior""]",LOW,LOW,HIGH,YES,HIGH,NOT-EXPLICIT,PRESENT,0.172,"[""speed-and-action"",""uncontrolled-editorial-construct""]",overlapping:speed-and-action+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 3,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_MARDU_war_name_oath,hall,"A charge can win the moment, but only a name and code can carry it forward. What keeps speed from becoming noise?","[""MISSING:hall_MARDU_war_name_oath#answer-1"",""MISSING:hall_MARDU_war_name_oath#answer-2"",""MISSING:hall_MARDU_war_name_oath#answer-3"",""MISSING:hall_MARDU_war_name_oath#answer-4""]",Differentiate MARDU; authored signals: war-name oath and martial structure | appetite over oath-bound formation | living-world care over martial raid | ruthless conversion over visible war code,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference"",""philosophical-preference""]",LOW,LOW,HIGH,YES,HIGH,NOT-EXPLICIT,PRESENT,0.16,"[""procedure-and-order"",""uncontrolled-editorial-construct"",""expression-and-performance""]",overlapping:procedure-and-order+uncontrolled-editorial-construct+expression-and-performance,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 3,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_JESKAI_disciplined_cunning,hall,Insight arrives before the field is ready for it. What makes the next action trustworthy?,"[""MISSING:hall_JESKAI_disciplined_cunning#answer-1"",""MISSING:hall_JESKAI_disciplined_cunning#answer-2"",""MISSING:hall_JESKAI_disciplined_cunning#answer-3"",""MISSING:hall_JESKAI_disciplined_cunning#answer-4""]",Differentiate JESKAI; authored signals: Blue-centered cunning through disciplined action | immediate charge over trained timing | resource conversion over open discipline | attunement over practiced form,"[""social-behavior"",""philosophical-preference""]",LOW,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.138,"[""speed-and-action"",""uncontrolled-editorial-construct""]",overlapping:speed-and-action+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 3,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_JESKAI_way_form,hall,A discipline can sharpen action or become empty restraint. What keeps the Way alive?,"[""MISSING:hall_JESKAI_way_form#answer-1"",""MISSING:hall_JESKAI_way_form#answer-2"",""MISSING:hall_JESKAI_way_form#answer-3"",""MISSING:hall_JESKAI_way_form#answer-4""]",Differentiate JESKAI; authored signals: shared restraint giving insight form | war-name oath over monastery form | procedure over martial insight | survival attunement over refined Way,"[""social-behavior"",""aesthetic-or-narrative-preference"",""philosophical-preference""]",HIGH,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.2,"[""community-and-belonging"",""uncontrolled-editorial-construct"",""procedure-and-order""]",overlapping:community-and-belonging+uncontrolled-editorial-construct+procedure-and-order,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 2,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_YORE_engineered_agency,hall,"A limit looks natural, final, or inherited. What makes pushing past it trustworthy?","[""MISSING:hall_YORE_engineered_agency#answer-1"",""MISSING:hall_YORE_engineered_agency#answer-2"",""MISSING:hall_YORE_engineered_agency#answer-3"",""MISSING:hall_YORE_engineered_agency#answer-4""]",Differentiate YORE; authored signals: engineered agency against finality | artifact perfection without Red heat | resource conversion without civic artifice | natural signal over constructed agency,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference"",""philosophical-preference""]",LOW,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.143,"[""agency-and-leverage"",""expression-and-performance""]",overlapping:agency-and-leverage+expression-and-performance,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 3,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_YORE_artifice_boundary,hall,"The answer involves artifacts, recursion, or optimization. What keeps it from being generic machinery?","[""MISSING:hall_YORE_artifice_boundary#answer-1"",""MISSING:hall_YORE_artifice_boundary#answer-2"",""MISSING:hall_YORE_artifice_boundary#answer-3"",""MISSING:hall_YORE_artifice_boundary#answer-4""]",Differentiate YORE; authored signals: artifice as refusal of natural surrender | generic artifact preference | generic recursion preference | martial opening over artifice,"[""gameplay-or-deck-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference"",""philosophical-preference""]",HIGH,LOW,HIGH,YES,HIGH,NOT-EXPLICIT,NOT-EXPLICIT,0.185,"[""expression-and-performance"",""uncontrolled-editorial-construct""]",overlapping:expression-and-performance+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 4,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_GLINT_living_force,hall,The table is unstable and the opening is real. What keeps the surge from collapsing into generic chaos?,"[""MISSING:hall_GLINT_living_force#answer-1"",""MISSING:hall_GLINT_living_force#answer-2"",""MISSING:hall_GLINT_living_force#answer-3"",""MISSING:hall_GLINT_living_force#answer-4""]",Differentiate GLINT; authored signals: living force under pressure rather than generic chaos | variance without the non-White frame | appetite without adaptive intelligence | attunement without Black appetite,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]",HIGH,MEDIUM-HIGH,MEDIUM,YES,HIGH,NOT-EXPLICIT,PRESENT,0.207,"[""speed-and-action"",""uncontrolled-editorial-construct"",""growth-and-nature""]",overlapping:speed-and-action+uncontrolled-editorial-construct+growth-and-nature,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 2,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_GLINT_missing_white,hall,A powerful engine keeps learning and feeding. What proves it is Glint rather than a nearby shell?,"[""MISSING:hall_GLINT_missing_white#answer-1"",""MISSING:hall_GLINT_missing_white#answer-2"",""MISSING:hall_GLINT_missing_white#answer-3"",""MISSING:hall_GLINT_missing_white#answer-4""]",Differentiate GLINT; authored signals: missing white as active boundary | grixis pressure without Green life | jund appetite without Blue intelligence | temur experimentation without Black appetite,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference"",""philosophical-preference""]",LOW,LOW,HIGH,YES,HIGH,NOT-EXPLICIT,PRESENT,0.222,"[""uncontrolled-editorial-construct"",""decay-and-renewal"",""experiment-and-invention""]",overlapping:uncontrolled-editorial-construct+decay-and-renewal+experiment-and-invention,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 4,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_DUNE_territorial_force,hall,"The line could stop to study, negotiate, or wait. What makes moving first feel trustworthy?","[""MISSING:hall_DUNE_territorial_force#answer-1"",""MISSING:hall_DUNE_territorial_force#answer-2"",""MISSING:hall_DUNE_territorial_force#answer-3"",""MISSING:hall_DUNE_territorial_force#answer-4""]",Differentiate DUNE; authored signals: organized territorial pressure before detached contemplation | jund instinct over common-front line | naya belonging over black conquest pressure | glint adaptation with blue present,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]",MEDIUM,MEDIUM-HIGH,LOW,YES,HIGH,NOT-EXPLICIT,PRESENT,0.207,"[""speed-and-action"",""growth-and-nature"",""community-and-belonging""]",overlapping:speed-and-action+growth-and-nature+community-and-belonging,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 4,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_DUNE_missing_blue,hall,"A force can be coordinated, hungry, alive, and immediate. What proves it is Dune rather than a nearby shell?","[""MISSING:hall_DUNE_missing_blue#answer-1"",""MISSING:hall_DUNE_missing_blue#answer-2"",""MISSING:hall_DUNE_missing_blue#answer-3"",""MISSING:hall_DUNE_missing_blue#answer-4""]",Differentiate DUNE; authored signals: missing blue as territorial-pressure boundary | mardu speed without green multiplication | abzan endurance without red ignition | glint volatility with blue present,"[""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference"",""philosophical-preference""]",LOW,LOW,HIGH,YES,HIGH,NOT-EXPLICIT,PRESENT,0.286,"[""speed-and-action"",""uncontrolled-editorial-construct""]",overlapping:speed-and-action+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 4,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_INK_protected_abundance,hall,"A gift, archive, or shared resource could help everyone, but it could also be captured. What makes sharing trustworthy?","[""MISSING:hall_INK_protected_abundance#answer-1"",""MISSING:hall_INK_protected_abundance#answer-2"",""MISSING:hall_INK_protected_abundance#answer-3"",""MISSING:hall_INK_protected_abundance#answer-4""]",Differentiate INK; authored signals: protected public abundance | appetite over protected reciprocity | force-backed line over open commons | procedure-first public process,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""philosophical-preference"",""lore-or-setting-proxy""]",HIGH,LOW,HIGH,YES,HIGH,PRESENT,PRESENT,0.156,"[""protection-and-duty"",""uncontrolled-editorial-construct"",""procedure-and-order""]",overlapping:protection-and-duty+uncontrolled-editorial-construct+procedure-and-order,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 5,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_INK_missing_black,hall,"The table wants abundance, knowledge, and care to circulate. What proves the center is Ink rather than generic group-hug?","[""MISSING:hall_INK_missing_black#answer-1"",""MISSING:hall_INK_missing_black#answer-2"",""MISSING:hall_INK_missing_black#answer-3"",""MISSING:hall_INK_missing_black#answer-4""]",Differentiate INK; authored signals: missing Black as anti-hoarding boundary | generic group-hug abundance | public archive shortcut | single-anchor shortcut,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference"",""philosophical-preference"",""lore-or-setting-proxy""]",HIGH,MEDIUM,MEDIUM,YES,HIGH,PRESENT,NOT-EXPLICIT,0.133,"[""uncontrolled-editorial-construct"",""history-and-memory""]",overlapping:uncontrolled-editorial-construct+history-and-memory,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 4,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
