identity,canonical_name,institution_type,colors,behavioral_definition_used_by_placement_metadata,primary_boundary_or_tension,supporting_question_ids,opposing_question_ids,required_positive_min_hits_in_metadata,required_positive_min_hits_enforced_by_runtime,false_positive_guardrail_in_metadata,supporting_answer_count,strong_supporting_answer_count,opposing_answer_count,gate_supporting_answer_count,hall_supporting_answer_count,crucible_supporting_answer_count,targeted_hall_question_count,targeted_crucible_question_count,exhaustive_primary_count,exhaustive_primary_share,exhaustive_rank2_count,exhaustive_rank3_count,reachability_status,minimum_positive_evidence_when_primary,maximum_positive_evidence_when_primary,minimum_primary_confidence,maximum_primary_confidence,exhaustive_maximum_primary_probability,minimum_primary_gap,maximum_primary_gap,exact_tie_primary_count,golden_path_primary,golden_path_confidence,copy_complete,copy_audit_status,commander_recommendation_count,commander_candidate_pool_count,native_exact_precon_count,other_exact_precon_count,stretch_precon_count,copy_source,recommendation_source,known_semantic_risk,evidence_strength,bias_indicators
TEMUR,Temur Frontier,wedge,"[""G"",""U"",""R""]","Temur Frontier is the Green-centered GUR Tarkir wedge expression whose source-bound floor is savagery, inner strength, mental fortitude, instinct, Qal Sisma survival, shamanic listening, elemental memory, and careful timeline separation from Atarka and modern Dragonstorm material.","Vox Mana synthesis models Temur's tension as listening versus isolation, instinct versus wisdom, survival versus suspicion, and preservation versus adaptation.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_TEMUR_survival_attunement"",""hall_TEMUR_elemental_memory"",""hall_SULTAI_resource_conversion"",""hall_SULTAI_dead_usefulness"",""hall_MARDU_total_commitment"",""hall_JESKAI_disciplined_cunning"",""hall_JESKAI_way_form"",""hall_YORE_engineered_agency"",""hall_GLINT_living_force"",""hall_GLINT_missing_white"",""crucible_TEMUR_SULTAI"",""crucible_TEMUR_MARDU"",""crucible_JESKAI_TEMUR""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_TEMUR_survival_attunement"",""hall_TEMUR_elemental_memory"",""hall_SULTAI_resource_conversion"",""hall_SULTAI_dead_usefulness"",""hall_MARDU_total_commitment"",""hall_JESKAI_disciplined_cunning"",""hall_YORE_engineered_agency"",""hall_GLINT_living_force"",""crucible_TEMUR_SULTAI"",""crucible_TEMUR_MARDU"",""crucible_JESKAI_TEMUR""]",2,false,"Do not treat support-only mechanics, Commander/operator rows, manual-fill lore, architecture prose, seed files, Atarka Clan, Dragonstorm backfill, or color composition alone as Temur evidence.",25,17,21,12,10,3,2,3,213,0.007921,296,305,reachable-in-exhaustive-valid-paths,0,0,0.067,0.799,0.799,0,0.761,1,TEMUR,0.799,true,warning,3,4,0,7,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
U,Blue,color,"[""U""]","Blue is the mono-color expression of becoming: it treats identity as editable, knowledge as leverage, and time as the price of choosing well.","Blue can make possibility precise, but it can stall in passivity, over-planning, or control that delays action.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_U_understanding"",""hall_U_possibility"",""hall_ESPER_perfectibility"",""hall_JESKAI_disciplined_cunning"",""hall_JESKAI_way_form"",""hall_INK_protected_abundance"",""hall_INK_missing_black"",""hall_COLORLESS_outside_wubrg"",""hall_COLORLESS_branch_boundary"",""hall_WUBRG_full_spectrum"",""crucible_U_WU"",""crucible_U_UB"",""crucible_U_UR"",""crucible_U_UG""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_B_cost"",""hall_B_graveyard"",""hall_U_understanding"",""hall_U_possibility"",""hall_R_ignition"",""hall_R_freedom"",""hall_G_growth"",""hall_G_natural_order"",""hall_COLORLESS_outside_wubrg"",""hall_COLORLESS_branch_boundary"",""crucible_U_WU"",""crucible_U_UB"",""crucible_U_UR"",""crucible_U_UG""]",2,false,"Do not place Blue for intelligence alone; require improvement, tools, deliberation, control, or learning as the core motive.",25,10,24,11,10,4,2,4,1620,0.060243,1478,1613,reachable-in-exhaustive-valid-paths,0,0,0.06,0.935,0.935,0,0.928,7,U,0.894,true,warning,3,3,0,1,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,primary-share-over-2x-uniform|can-win-with-zero-positive-evidence
UB,House Dimir,guild,"[""U"",""B""]","House Dimir is the blue-black Ravnican guild of secrecy, deception, spies, assassins, manipulation, secrets, and backroom deals.","Dimir gains power by controlling what is known and when it is revealed, while overbroad claims turn it into generic UB or an omnipotent conspiracy.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_B_cost"",""hall_B_graveyard"",""hall_U_understanding"",""hall_U_possibility"",""hall_UB_information"",""hall_WB_obligation"",""hall_ESPER_perfectibility"",""hall_ESPER_designed_control"",""hall_GRIXIS_survival_opening"",""hall_GRIXIS_volatile_calculation"",""hall_JUND_instinct_pressure"",""hall_NAYA_living_whole"",""hall_SULTAI_resource_conversion"",""hall_SULTAI_dead_usefulness"",""hall_MARDU_total_commitment"",""hall_JESKAI_disciplined_cunning"",""hall_YORE_engineered_agency"",""hall_YORE_artifice_boundary"",""hall_GLINT_missing_white"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""crucible_U_UB"",""crucible_B_UB"",""crucible_UB_WB""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_W_shelter"",""hall_UB_information"",""hall_WG_belonging"",""hall_WB_obligation"",""hall_INK_protected_abundance"",""hall_INK_missing_black"",""hall_SILVERQUILL_words"",""crucible_U_UB"",""crucible_B_UB"",""crucible_UB_WB""]",2,false,"Do not award for generic manipulation if the user wants visibility, reputation, or formal power.",43,15,18,12,28,3,1,3,1520,0.056524,560,368,reachable-in-exhaustive-valid-paths,0,0,0.069,0.891,0.891,0,0.862,4,UB,0.884,true,warning,2,2,5,1,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,primary-share-over-2x-uniform|can-win-with-zero-positive-evidence
UG,Simic Combine,guild,"[""U"",""G""]","Simic Combine is the green-blue Ravnican guild where life is studied, healed, adapted, and improved through biological research and clade practice.","Simic balances nature, public health, and incremental improvement against the risk of radical biological intervention.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_U_possibility"",""hall_G_growth"",""hall_G_natural_order"",""hall_WG_belonging"",""hall_UR_experiment"",""hall_UG_adaptation"",""hall_BANT_champion"",""hall_BANT_living_order"",""hall_TEMUR_survival_attunement"",""hall_TEMUR_elemental_memory"",""hall_SULTAI_resource_conversion"",""hall_SULTAI_dead_usefulness"",""hall_MARDU_total_commitment"",""hall_JESKAI_disciplined_cunning"",""hall_JESKAI_way_form"",""hall_GLINT_living_force"",""hall_GLINT_missing_white"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""hall_INK_protected_abundance"",""hall_INK_missing_black"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""hall_QUANDRIX_pattern"",""hall_WITHERBLOOM_essence"",""crucible_U_UG"",""crucible_G_UG"",""crucible_UG_QUANDRIX""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_UG_adaptation"",""hall_BANT_champion"",""hall_BANT_living_order"",""crucible_U_UG"",""crucible_G_UG"",""crucible_UG_QUANDRIX""]",2,false,Do not award for generic systems thinking without organism/adaptation language.,46,16,15,10,33,3,1,3,629,0.023391,162,208,reachable-in-exhaustive-valid-paths,0,0,0.075,0.795,0.795,0.005,0.77,0,UG,0.323,true,warning,3,7,6,2,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
UR,Izzet League,guild,"[""U"",""R""]","The Izzet League is the blue-red guild of Ravnica: a dragon-led culture of elemental magic, mizzium technology, civic engineering, and volatile discovery. The expanded story pass adds concrete examples of this identity at multiple levels: Trenz on Experiment Day, Madarrak and Castan pursuing Erno Zslod, lower-rank attendants fighting for recognition, and Ral Zarek directing crisis-scale resonator and beacon operations.","Izzet discovery wants to move fast enough to find the breakthrough while remaining useful enough to repair, rebuild, or stabilize what the experiment affects.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_U_understanding"",""hall_U_possibility"",""hall_R_ignition"",""hall_R_freedom"",""hall_UR_experiment"",""hall_UG_adaptation"",""hall_GRIXIS_volatile_calculation"",""hall_TEMUR_elemental_memory"",""hall_SULTAI_resource_conversion"",""hall_JESKAI_disciplined_cunning"",""hall_YORE_engineered_agency"",""hall_YORE_artifice_boundary"",""hall_GLINT_living_force"",""hall_GLINT_missing_white"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""hall_INK_protected_abundance"",""hall_INK_missing_black"",""hall_WITCH_missing_red"",""hall_PRISMARI_expression"",""hall_QUANDRIX_pattern"",""crucible_U_UR"",""crucible_R_UR"",""crucible_UR_PRISMARI""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_UR_experiment"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""hall_LOREHOLD_history"",""hall_PRISMARI_expression"",""crucible_U_UR"",""crucible_R_UR"",""crucible_UR_PRISMARI""]",3,false,"Do not award for generic curiosity, intelligence, or blue-red color identity without an experiment/build signal.",47,16,16,13,31,3,1,3,1061,0.039456,286,384,reachable-in-exhaustive-valid-paths,0,0,0.076,0.846,0.846,0,0.813,1,UR,0.756,true,warning,3,6,3,3,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
W,White,color,"[""W""]","White is the mono-color expression of peace through order: it builds laws, institutions, moral commitments, defense, and community structures so the group can reduce suffering together.","White can protect the many through structure, but it can become rigid, prescriptive, or too willing to lead others for their own good.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_W_shelter"",""hall_W_duty"",""hall_B_graveyard"",""hall_INK_protected_abundance"",""hall_COLORLESS_outside_wubrg"",""hall_COLORLESS_branch_boundary"",""crucible_W_WU"",""crucible_W_WR"",""crucible_W_WG""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_W_shelter"",""hall_W_duty"",""hall_B_cost"",""hall_B_graveyard"",""hall_COLORLESS_outside_wubrg"",""hall_COLORLESS_branch_boundary"",""crucible_W_WU"",""crucible_W_WR"",""crucible_W_WG""]",2,false,"Do not place White for generic kindness or safety alone; require structure, duty, or group-first obligation.",19,9,21,10,6,3,2,3,1635,0.060801,1774,1276,reachable-in-exhaustive-valid-paths,0,0,0.063,0.849,0.849,0,0.827,13,W,0.76,true,warning,3,3,0,1,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,primary-share-over-2x-uniform|can-win-with-zero-positive-evidence
WB,Orzhov Syndicate,guild,"[""W"",""B""]","Orzhov Syndicate is the white-black Ravnican guild where religious legitimacy, deals, debt, business, and cartel hierarchy overlap.","Orzhov presents religious and institutional authority while the reviewed guide emphasizes deals, business, debt, organized crime, and cartel leadership as its operating reality.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_B_cost"",""hall_B_graveyard"",""hall_WU_process"",""hall_UB_information"",""hall_WB_obligation"",""hall_BG_reclamation"",""hall_ESPER_designed_control"",""hall_JUND_appetite_consequence"",""hall_ABZAN_family_endurance"",""hall_ABZAN_ancestor_perennation"",""hall_TEMUR_elemental_memory"",""hall_SULTAI_resource_conversion"",""hall_SULTAI_dead_usefulness"",""hall_MARDU_total_commitment"",""hall_MARDU_war_name_oath"",""hall_YORE_engineered_agency"",""hall_YORE_artifice_boundary"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""hall_INK_protected_abundance"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""hall_SILVERQUILL_words"",""crucible_B_WB"",""crucible_WU_WB"",""crucible_UB_WB"",""crucible_WB_SILVERQUILL""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_U_understanding"",""hall_U_possibility"",""hall_R_ignition"",""hall_R_freedom"",""hall_WU_process"",""hall_WB_obligation"",""crucible_B_WB"",""crucible_WU_WB"",""crucible_UB_WB"",""crucible_WB_SILVERQUILL""]",2,false,"Do not award for generic institutions unless the answer frames them as leverage, obligation, or repayment.",45,15,18,13,28,4,1,4,571,0.021234,200,275,reachable-in-exhaustive-valid-paths,0,0,0.078,0.686,0.686,0,0.64,3,WB,0.703,true,warning,3,7,4,2,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
WG,Selesnya Conclave,guild,"[""W"",""G""]","Selesnya Conclave is the white-green Ravnican guild where communal voice, nature, unity, togetherness, and preservation overlap.","Selesnya offers harmony, care, and shared purpose while asking individual voice to yield to the communal one.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_W_shelter"",""hall_W_duty"",""hall_G_growth"",""hall_G_natural_order"",""hall_WU_process"",""hall_RG_wild"",""hall_WG_belonging"",""hall_BG_reclamation"",""hall_BANT_champion"",""hall_BANT_living_order"",""hall_ESPER_perfectibility"",""hall_ESPER_designed_control"",""hall_GRIXIS_survival_opening"",""hall_GRIXIS_volatile_calculation"",""hall_JUND_instinct_pressure"",""hall_NAYA_living_whole"",""hall_NAYA_abundance_instinct"",""hall_ABZAN_family_endurance"",""hall_ABZAN_ancestor_perennation"",""hall_TEMUR_survival_attunement"",""hall_TEMUR_elemental_memory"",""hall_SULTAI_resource_conversion"",""hall_MARDU_total_commitment"",""hall_MARDU_war_name_oath"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""hall_INK_protected_abundance"",""hall_INK_missing_black"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""hall_WR_protection"",""hall_WITHERBLOOM_essence"",""crucible_W_WG"",""crucible_G_WG"",""crucible_WU_WG""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_B_cost"",""hall_B_graveyard"",""hall_WU_process"",""hall_BR_intensity"",""hall_RG_wild"",""hall_WG_belonging"",""hall_WB_obligation"",""hall_BANT_champion"",""hall_BANT_living_order"",""hall_ESPER_perfectibility"",""hall_GRIXIS_survival_opening"",""hall_GRIXIS_volatile_calculation"",""hall_JUND_instinct_pressure"",""hall_JUND_appetite_consequence"",""hall_GLINT_missing_white"",""hall_WITHERBLOOM_essence"",""crucible_W_WG"",""crucible_G_WG"",""crucible_WU_WG""]",2,false,Do not award for generic kindness or nature language without community/consensus/selflessness.,59,21,29,12,44,3,1,3,686,0.02551,252,224,reachable-in-exhaustive-valid-paths,0,0,0.066,0.67,0.67,0,0.634,1,WG,0.428,true,warning,3,6,3,1,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
WITCH,Witch / Growth,four_color,"[""G"",""W"",""U"",""B""]","Witch is the four-color garden that never hurries. Green deepens the root, White builds the trellis, Blue measures the sequence, and Black keeps the whole structure scaling without Red's impulse, spectacle, or urgency.","Witch cultivates protected growth through structure, calculation, and ambition, but patient planning can become sterile control when Red-style impulse is excluded too completely.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""hall_COLORLESS_branch_boundary"",""crucible_INK_WITCH"",""crucible_WITCH_YORE""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""hall_COLORLESS_outside_wubrg"",""hall_COLORLESS_branch_boundary"",""hall_WUBRG_full_spectrum"",""crucible_INK_WITCH"",""crucible_WITCH_YORE""]",2,false,"Do not award Witch for generic same-color goodstuff, counters-only play patterns, proliferate familiarity, or Atraxa familiarity. Require the full four-color synthesis: patient cultivation held together by structure, calculation, and disciplined ambition under an explicit missing-Red frame. Proximity to Bant, Esper, Sultai, or Abzan alone does not qualify.",18,8,16,13,3,2,2,2,454,0.016883,1081,1353,reachable-in-exhaustive-valid-paths,0,0,0.059,0.738,0.738,0,0.708,9,WITCH,0.738,true,warning,2,2,0,1,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
WITHERBLOOM,Witherbloom College,college,"[""B"",""G""]",Witherbloom College is a black-green college associated with Arcavios / Strixhaven.,Witherbloom splits between cultivating life energy and extracting it for personal or practical power.,"[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_B_graveyard"",""hall_G_growth"",""hall_G_natural_order"",""hall_RG_wild"",""hall_WG_belonging"",""hall_BG_reclamation"",""hall_UG_adaptation"",""hall_JUND_appetite_consequence"",""hall_ABZAN_ancestor_perennation"",""hall_SULTAI_dead_usefulness"",""hall_WITHERBLOOM_essence"",""crucible_BG_WITHERBLOOM"",""crucible_QUANDRIX_WITHERBLOOM""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_WITHERBLOOM_essence"",""crucible_BG_WITHERBLOOM"",""crucible_QUANDRIX_WITHERBLOOM""]",2,false,"Do not award for generic nature, decay, or healing without craft/essence/exchange language.",24,13,11,11,11,2,1,2,439,0.016325,368,448,reachable-in-exhaustive-valid-paths,0,0,0.091,0.751,0.751,0.001,0.707,0,WITHERBLOOM,0.379,true,warning,1,1,2,4,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
WR,Boros Legion,guild,"[""W"",""R""]","Boros is the faction of public protection, civic peacekeeping, disciplined teamwork, and accountable action under present-tense harm.","Boros balances law-enforcement duty, military force, teamwork, and protection. Its danger is treating force as self-justifying after the peacekeeping purpose has fallen away.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_W_shelter"",""hall_W_duty"",""hall_R_ignition"",""hall_R_freedom"",""hall_WU_process"",""hall_BR_intensity"",""hall_NAYA_living_whole"",""hall_NAYA_abundance_instinct"",""hall_MARDU_total_commitment"",""hall_MARDU_war_name_oath"",""hall_JESKAI_disciplined_cunning"",""hall_JESKAI_way_form"",""hall_YORE_artifice_boundary"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""hall_INK_protected_abundance"",""hall_INK_missing_black"",""hall_WITCH_missing_red"",""hall_WR_protection"",""hall_LOREHOLD_history"",""crucible_W_WR"",""crucible_R_WR"",""crucible_WU_WR"",""crucible_WR_LOREHOLD""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_WU_process"",""hall_UB_information"",""hall_GLINT_missing_white"",""hall_WITCH_missing_red"",""hall_WR_protection"",""hall_LOREHOLD_history"",""crucible_W_WR"",""crucible_R_WR"",""crucible_WU_WR"",""crucible_WR_LOREHOLD""]",2,false,"Do not award for generic heroism, generic aggression, or white-red identity without active protection.",46,16,19,13,29,4,1,4,1008,0.037485,372,299,reachable-in-exhaustive-valid-paths,0,0,0.07,0.74,0.74,0.002,0.692,0,WR,0.51,true,warning,3,4,3,3,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
WU,Azorius Senate,guild,"[""W"",""U""]","Azorius Senate is Ravnica's white-blue civic/legal guild, anchored in law, procedure, legislation, enforcement, interpretation, and institutional structure.","Azorius care for social order can become detached, slow, inaccessible, or over-controlling when procedure protects itself more than people.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_W_shelter"",""hall_W_duty"",""hall_U_understanding"",""hall_U_possibility"",""hall_WU_process"",""hall_UB_information"",""hall_WG_belonging"",""hall_WB_obligation"",""hall_BANT_champion"",""hall_BANT_living_order"",""hall_ESPER_perfectibility"",""hall_ESPER_designed_control"",""hall_GRIXIS_survival_opening"",""hall_GRIXIS_volatile_calculation"",""hall_JUND_instinct_pressure"",""hall_NAYA_abundance_instinct"",""hall_ABZAN_family_endurance"",""hall_JESKAI_disciplined_cunning"",""hall_JESKAI_way_form"",""hall_YORE_engineered_agency"",""hall_INK_protected_abundance"",""hall_INK_missing_black"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""hall_WR_protection"",""hall_LOREHOLD_history"",""hall_SILVERQUILL_words"",""crucible_W_WU"",""crucible_U_WU"",""crucible_WU_WG"",""crucible_WU_WR"",""crucible_WU_WB""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_R_ignition"",""hall_R_freedom"",""hall_G_growth"",""hall_G_natural_order"",""hall_WU_process"",""hall_BR_intensity"",""hall_RG_wild"",""hall_WG_belonging"",""hall_UR_experiment"",""hall_BG_reclamation"",""hall_UG_adaptation"",""hall_BANT_champion"",""hall_BANT_living_order"",""hall_GRIXIS_survival_opening"",""hall_GRIXIS_volatile_calculation"",""hall_JUND_instinct_pressure"",""hall_JUND_appetite_consequence"",""hall_GLINT_missing_white"",""hall_WR_protection"",""hall_SILVERQUILL_words"",""hall_WITHERBLOOM_essence"",""crucible_W_WU"",""crucible_U_WU"",""crucible_WU_WG"",""crucible_WU_WR"",""crucible_WU_WB""]",2,false,"Do not award for generic order, generic caution, clean control gameplay, or fairness without process language.",54,24,36,12,37,5,1,5,1103,0.041017,399,335,reachable-in-exhaustive-valid-paths,0,0,0.062,0.848,0.848,0,0.823,1,WU,0.583,true,warning,3,6,4,0,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
