expected_identity,defining_evidence,closest_competitor,mixed_or_uncertain_element,exact_available_answers_selected,branch_path_reached,final_primary,rank_two,rank_three,softmax_share_displayed_as_confidence,direct_positive_evidence_present,minimum_hit_metadata_satisfied_by_strong_authored_hit_proxy,strong_authored_hit_count,false_positive_guardrail_metadata_satisfied,explanation_result,adjacent_result,commander_recommendation_result,acceptable_result_set,unacceptable_false_positives,final_disposition,scenario_limit
SULTAI,"[""Sultai Brood"",""Tarkir"",""BGU"",""Black-centered"",""ruthlessness"",""resource conversion"",""necromancy"",""sibsig"",""rakshasa pacts"",""Queen Sidisi"",""Silumgar boundary"",""Modern Dragonstorm Sultai""]",UB,Nearest current numeric competitor UB; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_braided_witness"",""title"":""A braided witness""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_answerable_motion"",""title"":""Answerable motion""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_cold_pattern"",""title"":""The cold pattern""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_transform"",""title"":""Become the changed thing""},{""stage"":""hall"",""question_id"":""hall_SULTAI_resource_conversion"",""answer_id"":""MISSING:hall_SULTAI_resource_conversion#answer-1"",""title"":""Use what others waste""},{""stage"":""hall"",""question_id"":""hall_SULTAI_dead_usefulness"",""answer_id"":""MISSING:hall_SULTAI_dead_usefulness#answer-1"",""title"":""Make the dead useful""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_SULTAI_resource_conversion"",""hall:hall_SULTAI_dead_usefulness""]",SULTAI,UB,BG,0.782,true,true,4,UNRESOLVED: guardrail is free text and has no executable predicate,"Sultai Brood recognizes the shape of your game as The Ruthless Resource Converter. Your answers repeatedly expressed transformative cost and ruthless resource conversion. House Dimir stayed near the reading, but Sultai Brood was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""UB"",""share"":0.033,""reason"":""House Dimir stayed close through bounded action, calculated implication, transformative cost.""},{""identity"":""BG"",""share"":0.024,""reason"":""Golgari Swarm stayed close through transformative cost, ruthless resource conversion, death converted into power.""}]","[""Sultai Arisen (Precon)"",""Sidisi, Brood Tyrant"",""Muldrotha, the Gravetide""]","[""SULTAI""]","[""ABZAN"",""BANT"",""BR"",""COLORLESS"",""DUNE""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
TEMUR,"[""Temur Frontier"",""Tarkir"",""GUR"",""Green-centered"",""savagery"",""instinct"",""mental fortitude"",""Qal Sisma"",""whisperers"",""Wide Whisper"",""frozen ancestors"",""elemental memory"",""Endless Song""]",RG,Nearest current numeric competitor RG; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_common_root"",""title"":""The common root""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_wild_release"",""title"":""A wild release""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_live_spark"",""title"":""The live spark""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_transform"",""title"":""Become the changed thing""},{""stage"":""hall"",""question_id"":""hall_TEMUR_survival_attunement"",""answer_id"":""MISSING:hall_TEMUR_survival_attunement#answer-1"",""title"":""Listen, then move""},{""stage"":""hall"",""question_id"":""hall_TEMUR_elemental_memory"",""answer_id"":""MISSING:hall_TEMUR_elemental_memory#answer-1"",""title"":""Follow the living memory""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_TEMUR_survival_attunement"",""hall:hall_TEMUR_elemental_memory""]",TEMUR,RG,G,0.799,true,true,6,UNRESOLVED: guardrail is free text and has no executable predicate,"Temur Frontier recognizes the shape of your game as The Elemental Survivor. Your answers repeatedly expressed transformative cost and attuned instinct before force. Gruul Clans stayed near the reading, but Temur Frontier was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""RG"",""share"":0.038,""reason"":""Gruul Clans stayed close through adaptive release, felt ignition, transformative cost.""},{""identity"":""G"",""share"":0.035,""reason"":""Green stayed close through adaptive release, transformative cost, attuned instinct before force.""}]","[""Temur Roar (Precon)"",""Surrak Dragonclaw"",""Animar, Soul of Elements""]","[""TEMUR""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
U,"[""knowledge"",""learning"",""tools"",""improvement"",""optimization"",""control"",""deliberation""]",UB,Nearest current numeric competitor UB; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_outside_measure"",""title"":""The measure outside the map""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_form"",""title"":""A form that can hold""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_measured_trace"",""title"":""The measured trace""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_transform"",""title"":""Become the changed thing""},{""stage"":""hall"",""question_id"":""hall_U_understanding"",""answer_id"":""MISSING:hall_U_understanding#answer-1"",""title"":""Map the variables""},{""stage"":""hall"",""question_id"":""hall_U_possibility"",""answer_id"":""MISSING:hall_U_possibility#answer-1"",""title"":""Improve the model""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_U_understanding"",""hall:hall_U_possibility""]",U,UB,WU,0.894,true,true,4,UNRESOLVED: guardrail is free text and has no executable predicate,"Blue recognizes the shape of your game as The Possibility Architect. Your answers repeatedly expressed transformative cost and act after understanding. House Dimir stayed near the reading, but Blue was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""UB"",""share"":0.011,""reason"":""House Dimir stayed close through measured inference, transformative cost, act after understanding.""},{""identity"":""WU"",""share"":0.009,""reason"":""Azorius Senate stayed close through measured inference, act after understanding, optimization through knowledge.""}]","[""Talrand, Sky Summoner"",""Azami, Lady of Scrolls"",""Minn, Wily Illusionist""]","[""U""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
UB,"[""secrecy"",""information"",""hidden"",""surveillance"",""discretion"",""unseen"",""memory"",""privacy"",""knowledge"",""infiltration""]",B,Nearest current numeric competitor B; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_self_claim"",""title"":""The claim no one can make for me""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_form"",""title"":""A form that can hold""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_cold_pattern"",""title"":""The cold pattern""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_transform"",""title"":""Become the changed thing""},{""stage"":""hall"",""question_id"":""hall_UB_information"",""answer_id"":""MISSING:hall_UB_information#answer-1"",""title"":""Hold it until timing matters""},{""stage"":""hall"",""question_id"":""hall_U_understanding"",""answer_id"":""MISSING:hall_U_understanding#answer-3"",""title"":""Keep the secret""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_UB_information"",""hall:hall_U_understanding""]",UB,B,U,0.884,true,true,6,UNRESOLVED: guardrail is free text and has no executable predicate,"House Dimir recognizes the shape of your game as The Hidden Information Operator. Your answers repeatedly expressed transformative cost and strategic secrecy. Black stayed near the reading, but House Dimir was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""B"",""share"":0.022,""reason"":""Black stayed close through self-authored agency, calculated implication.""},{""identity"":""U"",""share"":0.014,""reason"":""Blue stayed close through ordered containment, calculated implication, transformative cost.""}]","[""Lazav, Dimir Mastermind"",""Etrata, the Silencer""]","[""UB""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
UG,"[""adaptation"",""improvement"",""biology"",""evolve"",""specimen"",""mutation"",""progress"",""organism"",""experiment"",""biomancy""]",BANT,Nearest current numeric competitor BANT; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_common_root"",""title"":""The common root""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_answerable_motion"",""title"":""Answerable motion""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_measured_trace"",""title"":""The measured trace""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_transform"",""title"":""Become the changed thing""},{""stage"":""hall"",""question_id"":""hall_UG_adaptation"",""answer_id"":""MISSING:hall_UG_adaptation#answer-1"",""title"":""Adapt the organism""},{""stage"":""hall"",""question_id"":""hall_U_understanding"",""answer_id"":""MISSING:hall_U_understanding#answer-4"",""title"":""Run the experiment""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_UG_adaptation"",""hall:hall_U_understanding""]",UG,BANT,G,0.323,true,true,3,UNRESOLVED: guardrail is free text and has no executable predicate,"Simic Combine recognizes the shape of your game as The Adaptive Biodesigner. Your answers repeatedly expressed measured inference and transformative cost. Bant stayed near the reading, but Simic Combine was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""BANT"",""share"":0.072,""reason"":""Bant stayed close through bounded action, measured inference, transformative cost.""},{""identity"":""G"",""share"":0.064,""reason"":""Green stayed close through communal continuity, measured inference, transformative cost.""}]","[""Prime Speaker Zegana"",""Zegana, Utopian Speaker"",""Momir Vig, Simic Visionary""]","[""UG""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
UR,"[""experiment"",""invention"",""prototype"",""mechanism"",""lightning"",""science"",""build"",""discovery"",""question"",""engineering"",""chaotic""]",GLINT,Nearest current numeric competitor GLINT; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_personal_threshold"",""title"":""The threshold in the self""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_answerable_motion"",""title"":""Answerable motion""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_live_spark"",""title"":""The live spark""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_transform"",""title"":""Become the changed thing""},{""stage"":""hall"",""question_id"":""hall_UR_experiment"",""answer_id"":""MISSING:hall_UR_experiment#answer-1"",""title"":""The mechanism""},{""stage"":""hall"",""question_id"":""hall_R_ignition"",""answer_id"":""MISSING:hall_R_ignition#answer-3"",""title"":""Make it a test""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_UR_experiment"",""hall:hall_R_ignition""]",UR,GLINT,U,0.756,true,true,4,UNRESOLVED: guardrail is free text and has no executable predicate,"Izzet League recognizes the shape of your game as The Experimental Spark. Your answers repeatedly expressed transformative cost and mechanistic experiment. Glint / Chaos stayed near the reading, but Izzet League was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""GLINT"",""share"":0.027,""reason"":""Glint / Chaos stayed close through personal threshold, bounded action, transformative cost.""},{""identity"":""U"",""share"":0.024,""reason"":""Blue stayed close through personal threshold, bounded action, transformative cost.""}]","[""Niv-Mizzet, Parun"",""Melek, Izzet Paragon"",""Niv-Mizzet, Dracogenius""]","[""UR""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
W,"[""group needs"",""shared rules"",""duty"",""peace"",""protection"",""law"",""community""]",WR,Nearest current numeric competitor WR; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_outside_measure"",""title"":""The measure outside the map""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_answerable_motion"",""title"":""Answerable motion""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_unlit_edge"",""title"":""The unlit edge""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_preserve"",""title"":""Preserve what must not break""},{""stage"":""hall"",""question_id"":""hall_W_shelter"",""answer_id"":""MISSING:hall_W_shelter#answer-1"",""title"":""Build the shelter""},{""stage"":""hall"",""question_id"":""hall_W_duty"",""answer_id"":""MISSING:hall_W_duty#answer-1"",""title"":""Strengthen what protects""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_W_shelter"",""hall:hall_W_duty""]",W,WR,WU,0.76,true,true,3,UNRESOLVED: guardrail is free text and has no executable predicate,"White recognizes the shape of your game as The Shelter Architect. Your answers repeatedly expressed preserving duty and shelter through structure. Boros Legion stayed near the reading, but White was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""WR"",""share"":0.02,""reason"":""Boros Legion stayed close through preserving duty, shelter through structure, duty to maintain shelter.""},{""identity"":""WU"",""share"":0.019,""reason"":""Azorius Senate stayed close through preserving duty, shelter through structure, duty to maintain shelter.""}]","[""Giada, Font of Hope"",""Adeline, Resplendent Cathar"",""Balan, Wandering Knight""]","[""W""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
WB,"[""debt"",""obligation"",""contract"",""prestige"",""tithe"",""leverage"",""legacy"",""hierarchy"",""payment"",""guilt""]",YORE,Nearest current numeric competitor YORE; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_self_claim"",""title"":""The claim no one can make for me""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_form"",""title"":""A form that can hold""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_cold_pattern"",""title"":""The cold pattern""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_preserve"",""title"":""Preserve what must not break""},{""stage"":""hall"",""question_id"":""hall_WB_obligation"",""answer_id"":""MISSING:hall_WB_obligation#answer-1"",""title"":""A debt that outlasts apology""},{""stage"":""hall"",""question_id"":""hall_B_cost"",""answer_id"":""MISSING:hall_B_cost#answer-3"",""title"":""Make it a debt""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_WB_obligation"",""hall:hall_B_cost""]",WB,YORE,B,0.703,true,true,4,UNRESOLVED: guardrail is free text and has no executable predicate,"Orzhov Syndicate recognizes the shape of your game as The Obligation Architect. Your answers repeatedly expressed preserving duty and debt as relationship. Yore / Artifice stayed near the reading, but Orzhov Syndicate was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""YORE"",""share"":0.049,""reason"":""Yore / Artifice stayed close through ordered containment, calculated implication, preserving duty.""},{""identity"":""B"",""share"":0.029,""reason"":""Black stayed close through self-authored agency, calculated implication, preserving duty.""}]","[""Teysa Karlov"",""Teysa, Orzhov Scion"",""Obzedat, Ghost Council""]","[""WB""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
WG,"[""belonging"",""harmony"",""community"",""consensus"",""peace"",""collective"",""nurture"",""group"",""selflessness"",""worldmind""]",INK,Nearest current numeric competitor INK; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_common_root"",""title"":""The common root""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_many_currents"",""title"":""Many currents, one course""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_whole_chord"",""title"":""The whole chord""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_steward"",""title"":""Steward the change""},{""stage"":""hall"",""question_id"":""hall_WG_belonging"",""answer_id"":""MISSING:hall_WG_belonging#answer-1"",""title"":""Belonging that softens the self""},{""stage"":""hall"",""question_id"":""hall_NAYA_living_whole"",""answer_id"":""MISSING:hall_NAYA_living_whole#answer-2"",""title"":""Stand with the circle""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_WG_belonging"",""hall:hall_NAYA_living_whole""]",WG,INK,JESKAI,0.428,true,true,3,UNRESOLVED: guardrail is free text and has no executable predicate,"Selesnya Conclave recognizes the shape of your game as The Communal Harmonizer. Your answers repeatedly expressed careful stewardship and shared self. Ink / Altruism stayed near the reading, but Selesnya Conclave was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""INK"",""share"":0.05,""reason"":""Ink / Altruism stayed close through balanced convergence, balanced chord, careful stewardship.""},{""identity"":""JESKAI"",""share"":0.047,""reason"":""Jeskai Way stayed close through balanced convergence, balanced chord, careful stewardship.""}]","[""Trostani, Selesnya's Voice"",""Emmara, Soul of the Accord"",""Trostani Discordant""]","[""WG""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
WITCH,"[""cultivate"",""accumulate"",""patient"",""inevitable"",""compound"",""protect"",""structure"",""long-term"",""scale"",""deliberate"",""systematic""]",QUANDRIX,Nearest current numeric competitor QUANDRIX; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_common_root"",""title"":""The common root""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_answerable_motion"",""title"":""Answerable motion""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_cold_pattern"",""title"":""The cold pattern""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_whole_covenant"",""title"":""Keep the whole covenant""},{""stage"":""hall"",""question_id"":""hall_WITCH_patient_cultivation"",""answer_id"":""MISSING:hall_WITCH_patient_cultivation#answer-1"",""title"":""Let the roots keep the ledger""},{""stage"":""hall"",""question_id"":""hall_WITCH_missing_red"",""answer_id"":""MISSING:hall_WITCH_missing_red#answer-1"",""title"":""Keep the spark out of command""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_WITCH_patient_cultivation"",""hall:hall_WITCH_missing_red""]",WITCH,QUANDRIX,UG,0.738,true,true,4,UNRESOLVED: guardrail is free text and has no executable predicate,"Witch / Growth recognizes the shape of your game as The Patient Cultivation Schemer. Your answers repeatedly expressed integrated covenant and patient cultivation protected by structure. Quandrix College stayed near the reading, but Witch / Growth was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""QUANDRIX"",""share"":0.03,""reason"":""Quandrix College stayed close through bounded action, calculated implication, integrated covenant.""},{""identity"":""UG"",""share"":0.03,""reason"":""Simic Combine stayed close through bounded action, calculated implication, integrated covenant.""}]","[""Atraxa, Praetors' Voice"",""Breed Lethality (Precon)""]","[""WITCH""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
WITHERBLOOM,"[""essence"",""life"",""death"",""pest"",""craft"",""brew"",""swamp"",""study"",""body"",""drain"",""growth""]",GLINT,Nearest current numeric competitor GLINT; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_self_claim"",""title"":""The claim no one can make for me""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_wild_release"",""title"":""A wild release""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_cold_pattern"",""title"":""The cold pattern""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_whole_covenant"",""title"":""Keep the whole covenant""},{""stage"":""hall"",""question_id"":""hall_WITHERBLOOM_essence"",""answer_id"":""MISSING:hall_WITHERBLOOM_essence#answer-1"",""title"":""The life-death exchange""},{""stage"":""hall"",""question_id"":""hall_B_cost"",""answer_id"":""MISSING:hall_B_cost#answer-3"",""title"":""Make it a debt""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_WITHERBLOOM_essence"",""hall:hall_B_cost""]",WITHERBLOOM,GLINT,B,0.379,true,true,3,UNRESOLVED: guardrail is free text and has no executable predicate,"Witherbloom College recognizes the shape of your game as The Vitality Ecologist. Your answers repeatedly expressed calculated implication and integrated covenant. Glint / Chaos stayed near the reading, but Witherbloom College was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""GLINT"",""share"":0.075,""reason"":""Glint / Chaos stayed close through adaptive release, calculated implication, integrated covenant.""},{""identity"":""B"",""share"":0.071,""reason"":""Black stayed close through adaptive release, calculated implication, integrated covenant.""}]","[""Witherbloom Pestilence (Precon)""]","[""WITHERBLOOM""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
WR,"[""protect"",""protection"",""intervene"",""immediate"",""action"",""teammate"",""duty"",""justice"",""accountable"",""defend""]",W,Nearest current numeric competitor W; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_common_root"",""title"":""The common root""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_form"",""title"":""A form that can hold""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_live_spark"",""title"":""The live spark""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_preserve"",""title"":""Preserve what must not break""},{""stage"":""hall"",""question_id"":""hall_WR_protection"",""answer_id"":""MISSING:hall_WR_protection#answer-1"",""title"":""Move now""},{""stage"":""hall"",""question_id"":""hall_JESKAI_disciplined_cunning"",""answer_id"":""MISSING:hall_JESKAI_disciplined_cunning#answer-4"",""title"":""Wait for the living signal""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_WR_protection"",""hall:hall_JESKAI_disciplined_cunning""]",WR,W,INK,0.51,true,true,4,UNRESOLVED: guardrail is free text and has no executable predicate,"Boros Legion recognizes the shape of your game as The Protective Intervener. Your answers repeatedly expressed felt ignition and preserving duty. White stayed near the reading, but Boros Legion was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""W"",""share"":0.14,""reason"":""White stayed close through ordered containment, felt ignition, preserving duty.""},{""identity"":""INK"",""share"":0.059,""reason"":""Ink / Altruism stayed close through ordered containment, felt ignition, preserving duty.""}]","[""Aurelia, the Warleader"",""Tajic, Legion's Edge"",""Feather, the Redeemed""]","[""WR""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
